participant	content
MOT	I don't think it matters . 
MOT	<the spots matter> . 
CHI	<okay this guy's spotted> . 
CHI	and he has weak little arms . 
CHI	and he has small legs . 
CHI	did this guy look like he has money on him ? 
CHI	he looks like a frog . 
MOT	did we steal from the guy with the spots ? 
MOT	and the <small legs> ? 
CHI	<the guy with the spots> was buff though . 
MOT	okay then what was the result of that one ? 
CHI	we got gems . 
MOT	did we ask or take ? 
CHI	I think the legs also matter 'cause <I've seen> some guy with big legs and small legs . 
MOT	<yeah> . 
MOT	okay . 
CHI	I think we stole from him that last guy . 
MOT	the big dude ? 
CHI	the big dude the first guy that <we faced> . 
MOT	<so do we> try stealing ? 
CHI	from this guy ? 
CHI	I don't +... 
MOT	is it the spots or the legs ? 
CHI	is this guy a bad guy ? 
MOT	we won't know until we decide . 
MOT	you can +... 
CHI	ask him ? 
MOT	I think it's steal . 
CHI	no it's just waved . 
MOT	why do we keep waving ? 
CHI	'cause he's poor he doesn't have gems how do we find out which one's poor and which one's +..? 
CHI	okay that guy is spots blue buff legs weird eyes . 
CHI	weak arms . 
MOT	mhm . 
MOT	blue we asked . 
CHI	spots blue . 
CHI	eyes arms and legs that's five . 
MOT	I think he's friendly . 
CHI	think he's friendly ? 
MOT	I think he's friendly . 
CHI	wave or ask ? 
CHI	ask ? 
MOT	I'm not sure . 
CHI	ask oh he's bad . 
MOT	okay . 
CHI	so he mugged us . 
MOT	we only have one more chance . 
CHI	okay this guy's the same just with . 
CHI	normal eyes . 
MOT	<so if he's bad right> if he's good it's the eyes . 
CHI	<he seems like a good chap> . 
CHI	just keep asking ? 
MOT	that's the best way to narrow down all the variables . 
MOT	so the eyes make him <friendly> ? 
CHI	<we have> <zero points> . 
MOT	<and we [/] and> we're done . 
CHI	well no but the guy with the weird eyes before this one was a good guy . 
MOT	oh yeah . 
MOT	we failed . 
CHI	it's alright we still have more [//] we have more chances this is the same one oh wait buff legs though . 
MOT	okay . 
CHI	alright so this could help us determine <what buff> legs mean . 
MOT	<right> [/] right . 
MOT	if we continue asking +... 
CHI	maybe buff legs mean big pocket <means steal> . 
MOT	<oh okay> . 
CHI	no okay buff legs friendly no money <wave> . 
MOT	<okay> . 
MOT	arms down . 
CHI	arms down . 
MOT	thin . 
CHI	hm . 
CHI	just a big old butt okay this is [//] guy's the same no spots and green . 
CHI	no spots and green . 
MOT	friendly . 
MOT	right ? 
MOT	unless green means mean . 
CHI	ugh okay green so_far has not been successful so um do we wave ? 
MOT	nice we got two . 
CHI	nice okay so he has no money he's a friendly . 
CHI	'cause he's skinny . 
MOT	okay . 
CHI	and . 
MOT	<arms down> . 
CHI	<green means poor> . 
CHI	oh . 
MOT	he's completely the opposite . 
CHI	mhm . 
MOT	so we steal . 
MOT	right ? 
CHI	but he's green does green mean poor ? 
MOT	well here we will figure that out . 
CHI	here we'll figure that out okay so steal ? 
MOT	steal or run . 
CHI	steal okay so green doesn't mean poor which doesn't help us <but we have more points now> . 
MOT	<exactly> which is the ultimate goal . 
CHI	yeah . 
CHI	well this guy's the same as the other guy before him right ? 
MOT	different eyes . 
CHI	no same eyes the two [/] the two before . 
CHI	except I wasn't looking at the legs were the legs thin or fat ? 
MOT	I think he looked like this with the red eyes . 
CHI	no [/] no the one [//] not the one we just did but two before . 
MOT	<two before> ? 
CHI	did he have big legs or skinny legs ? 
MOT	I don't remember it's too many to remember . 
CHI	so he looks alright so let's ask him no . 
MOT	no we should've <just waved> . 
CHI	<should've waved> . 
MOT	why ? 
CHI	I don't know . 
MOT	I need to write all this down this is too many things for my brain . 
CHI	okay this guy is buff fat legs blue and some spots . 
MOT	didn't we <just see him> ? 
CHI	no . 
MOT	with different eyes . 
MOT	and we stole from him . 
MOT	so if we steal from this guy . 
CHI	should we <run> ? 
MOT	<then it's> the eyes . 
CHI	steal from this guy and then the eyes that what ? 
MOT	that changed it . 
CHI	changed it to what ? 
MOT	'cause the last guy that looked like that with spots blue buff arms +// . 
MOT	did he have arms up or down ? 
MOT	arms up . 
CHI	arms up . 
MOT	big legs had the red eyes though <but we stole> from him and finally got some points right ? 
CHI	<red eyes> . 
CHI	did we steal from him ? 
MOT	oh we got +... 
CHI	oh . 
MOT	we took too long . 
CHI	okay . 
MOT	so he was friendly we should've asked him for a gem . 
CHI	hm . 
CHI	I think okay skinny arms this [/] this guy has skipped leg day green . 
CHI	spots . 
CHI	<we're gonna> [/] we're gonna give him a wave . 
MOT	are we dumb ? 
CHI	we might be dumb . 
CHI	this guy's the exact same with weird eyes . 
CHI	steal ? 
MOT	okay let's <see if it's legs> . 
CHI	<I just like> stealing . 
MOT	it's legs . 
CHI	it's not legs their legs were the same their colors were the same except their eyes <their eyes> are what changed so I think [//] I think red eye means steal . 
MOT	<okay> . 
MOT	alright that's not true but that's alright . 
CHI	well I'm just gonna go with that . 
MOT	okay . 
CHI	okay so this guy's the exact same with weak arms . 
MOT	mhm . 
CHI	pass ? 
MOT	run ? 
CHI	run ? 
CHI	running ? 
MOT	arms up . 
CHI	we're nailing it . 
MOT	arms up does mean +" yay I have gems +" maybe . 
CHI	yeah +" I have gems I have no gems +" . 
CHI	okay so this guy is +... 
MOT	gems . 
MOT	friendly ? 
CHI	I'm gonna run away from this guy look at him . 
MOT	no we have to ask him for gems . 
CHI	no he's huge . 
MOT	ugh just trust me . 
MOT	let me see if I'm right . 
CHI	we nailed this we've got it we're locked_in . 
MOT	no we're not . 
CHI	this guy's the same with [/] with normal eyes . 
MOT	that's the one <I'm not> sure [/] <sure> of . 
CHI	<that's the one we wave> ? 
CHI	<do we wave> ? 
CHI	<I'm gonna run> . 
MOT	<but he has gems> . 
CHI	how do you know ? 
CHI	does arm up mean gems ? 
MOT	yeah <wave I> think you're right . 
CHI	<wave> ? 
MOT	damn_it . 
CHI	oh we should've asked okay so maybe arms up does mean gems . 
MOT	that's what I think I'm all excited but I think we're totally wrong . 
CHI	<this guy's> [/] this guy's arms up weird eyes . 
MOT	but is he friendly or not friendly ? 
CHI	steal ? 
MOT	no I think we ask . 
CHI	ask ? 
CHI	yeah let's ask . 
MOT	I don't know why I'm right . 
CHI	we got it though okay this guy's thickthighed blue with spots weird eyes he's a_little scary . 
MOT	steal ? 
MOT	steal . 
CHI	steal ? 
MOT	I think the spots make him mean . 
MOT	I'm just <guessing good> . 
CHI	<you're lucky> . 
CHI	okay this guy no cash on this guy this guy is a +... 
MOT	but is +// . 
MOT	do we run away or do we +..? 
CHI	wave him away ? 
CHI	or maybe run away ? 
MOT	I think we run away 'cause his legs are little he runs fast no how do we <know when they're friendly or> not friendly ? 
CHI	<oh it's friendly> . 
MOT	alright go to the next one we haven't been able to figure that out . 
CHI	okay this guy's [//] this guy looks no [/] no it's steal . 
MOT	I think he you actually run away from . 
CHI	this guy ? 
MOT	run away try run away and see where that get us . 
CHI	should've just waved <so he's friendly> . 
MOT	<okay so those> they were both friendly . 
CHI	they were both friendly and just [/] and just wave <both of them> ? 
MOT	<and they had> eyes different and color different . 
MOT	but otherwise <the same> . 
CHI	<but otherwise> the same . 
CHI	weak arm weak leg . 
MOT	mhm . 
CHI	okay this guy's the same with different eyes . 
MOT	run <away> . 
CHI	<run> away ? 
CHI	we decided those eyes are evil nope just waved . 
CHI	this sucks . 
MOT	how do we know when they're <evil> ? 
CHI	<okay> this guy has some cash on him I think . 
MOT	<yeah> . 
CHI	<steal> or ask ? 
CHI	the last two the last like three have been friendly so a steal . 
CHI	it's like a test . 
CHI	I feel <the need [/] the <need> to steal> [/] the neel to steal . 
MOT	<to steal> ? 
MOT	okay I think you're wrong . 
MOT	I <think it's run away> . 
CHI	<I think I nailed it> no okay it's ask for a gem . 
MOT	so it's legs . 
CHI	legs are all that matter . 
MOT	it's [/] it's all about leg day . 
CHI	this guy is big legs . 
MOT	spots make them mean maybe . 
CHI	spots make them <mean> ? 
MOT	<steal> from him . 
CHI	ask him . 
MOT	well now I'm all <confused> . 
CHI	<now> I'm all confused . 
CHI	is there even a pattern or are they just messing with us ? 
MOT	no I think we're just dumb . 
MOT	what was the last one ? 
MOT	waved ? 
MOT	we should've waved ? 
CHI	alright on_three just say what you think one two three <run> . 
MOT	<wave> . 
CHI	wave ? 
MOT	try run 'cause run has been wrong the other ways . 
MOT	okay you're onto something . 
CHI	I'm onto something I [//] I'm <not onto something> I don't know it was just +// . 
MOT	<what were> you thinking ? 
CHI	okay this guy's gotta be . 
MOT	<friendly> no money . 
CHI	<run> . 
CHI	friendly no money ? 
MOT	wave . 
MOT	I don't know why . 
CHI	this is the same guy with spots . 
MOT	mean <no money> . 
CHI	<wow you> really hate the spots . 
CHI	run ? 
MOT	mean no money . 
CHI	dude . 
MOT	I don't um +... 
CHI	spots are bad spots mean you're <evil> . 
MOT	<I don't> like that . 
CHI	this is good same guy but blue . 
CHI	wave . 
CHI	well +/ . 
MOT	or steal . 
CHI	or steal steal let's go with steal . 
CHI	run away . 
MOT	<so> +... 
CHI	<bad> . 
CHI	okay so [/] so [/] so the race of the alien does not matter <I> don't <think> . 
MOT	<okay> . 
MOT	<well that> makes me feel better <about this game> . 
CHI	<on a good or bad> . 
CHI	but it means something should we run away ? 
CHI	so we stole from the green guy now the blue guy doesn't have money on him . 
MOT	okay keep going . 
CHI	maybe it doesn't even matter and it's just . 
MOT	random ? 
CHI	it's just random okay this guy has big [/] big old legs I say this guy doesn't have money on him . 
MOT	he has <no money> . 
CHI	I'm gonna <wave> . 
MOT	mhm . 
MOT	he has money . 
CHI	this guy just looks like his name is like Chad or . 
CHI	Carl . 
CHI	he has money ? 
MOT	he has money . 
CHI	ask him ? 
MOT	I can't determine who's mean . 
CHI	I'm gonna steal . 
CHI	we have <a hundred> points . 
MOT	<yeah> okay well that's okay . 
CHI	I like these even numbers . 
MOT	I don't know how to determine somebody's <not good> though . 
CHI	click the spacebar . 
CHI	okay this guy's the same with spots we've determined spots are bad . 
MOT	and I think it +// . 
MOT	or it doesn't matter so do the same that we did last time . 
CHI	run or steal ? 
CHI	'cause if spots are bad +... 
MOT	steal 'cause he has gems . 
CHI	he's friendly . 
CHI	okay . 
MOT	we've hit [//] we've done this one <before> . 
CHI	<can we just> steal for the rest like <four> ? 
MOT	<no> he has no money so +... 
CHI	no money ? 
MOT	no wave or +... 
CHI	we'll give him a wave . 
CHI	let's steal from this guy . 
CHI	we've become a criminal organization now . 
CHI	ah we should've asked him . 
MOT	he had money and he was friendly so . 
MOT	I guess you just don't know if they're friendly or <not friendly> I think so he has money . 
CHI	<okay> . 
CHI	he has money ? 
CHI	but is he friendly ? 
MOT	I think everybody's friendly . 
MOT	except the random ones . 
CHI	okay so yeah he is friendly <and rich> okay <yeah> . 
MOT	<oh yeah> <you> didn't listen to me . 
CHI	I didn't wanted to steal . 
MOT	<he has no money> . 
CHI	<he's got some weak> little arms he has no money ? 
MOT	he has no money I don't know if he's nice or not you wanna wave to him ? 
MOT	let's run away . 
CHI	okay agh oh yeah he was wave . 
MOT	typical kid losing all my money . 
CHI	well I asked did too . 
CHI	yeah . 
MOT	alright so we didn't fall <out_of space> . 
CHI	<we didn't yeah> we're not [//] we weren't killed <by the aliens> . 
MOT	<nice job> should've listened to me . 
INV	okay .
