participant	content
MOT	now it has those eyes . 
MOT	I don't think it makes a difference . 
CHI	nope . 
CHI	what do you say bad or good ? 
MOT	I think it's a friendly +... 
CHI	okay . 
MOT	what do you think ? 
MOT	you think it's a bad one ? 
MOT	what do you makes it what makes you think +... 
CHI	well see as these eyes are blue but doesn't +... 
MOT	oh you think it's their color ? 
CHI	it [/] it [/] it looks like remember the first time we had bad aliens that looked like that . 
MOT	okay let's go for a bad alien . 
CHI	okay . 
MOT	you gonna steal from it or run away ? 
CHI	steal from it aw <run away> . 
MOT	<aw we should have run away> from it it was a bad alien though . 
CHI	yeah . 
MOT	so are blue +... 
CHI	maybe blue was eyes and <spots> . 
CHI	okay you ready ? 
MOT	okay . 
MOT	<so that's like good alien> . 
CHI	<that one> looks a +//. 
CHI	it comes a good alien . 
MOT	okay so should we ask or should we wave I forget . 
CHI	um let's ask him for one . 
MOT	okay . 
CHI	yay . 
MOT	so maybe their arms up versus their arms down ? 
CHI	yeah . 
MOT	I think . 
CHI	yeah maybe okay ready ? 
CHI	see this <do we> steal it ? 
MOT	<so it's a> +... 
CHI	no we ask it for gems . 
MOT	okay . 
MOT	woohoo . 
CHI	oh yes we finally figured out the pattern mommy . 
MOT	okay hopefully . 
CHI	hopefully . 
MOT	so his arm's up so we should ask it right ? 
CHI	yup . 
MOT	okay . 
MOT	<woohoo> . 
CHI	<yes> . 
MOT	okay . 
CHI	we did that finally . 
CHI	we have . 
MOT	okay . 
CHI	four +... 
CHI	okay you figured out half of it <about> . 
MOT	<okay> oh . 
CHI	<oh> . 
MOT	<so> his arm's down so we should wave <at it> it's a good alien . 
CHI	<yeah wave> it's a good alien but we should wave at it . 
MOT	woohoo . 
CHI	we did it so +... 
MOT	that was a bad alien . 
CHI	so +... 
MOT	oh I forget it [/] it's got its arms up <we should> +... 
CHI	<then we should> steal from it . 
MOT	you think steal let's try it . 
CHI	<oh> . 
MOT	<it> was a friendly alien ? 
CHI	hm . 
MOT	hm now I'm confused . 
CHI	well I guess we figured out the ones with the friendly aliens sort_of okay [/] <okay> . 
MOT	<I> thought that the bad aliens were blue but that's <not true> . 
CHI	no that's not true okay ready ? 
CHI	okay . 
MOT	arms up . 
CHI	then we should ask it . 
MOT	ask it for a gem . 
MOT	okay . 
CHI	okay we have almost one hundred . 
CHI	okay ready ? 
MOT	mhm . 
MOT	so wave at it . 
CHI	aw I don't know <it was a bad alien> . 
MOT	<it was a bad alien> . 
CHI	it has red eyes so +// . 
CHI	oh . 
MOT	you think he has the red eyes ? 
CHI	yeah if [/] if it's green and has red eyes then run away from okay here ready let's try it okay <so wanna> wave it . 
MOT	<that's a> +... 
CHI	wave that's a good alien . 
MOT	<okay> . 
CHI	<okay> okay oh it's the so we figured out the green ones right so arms up or arms down is run away or arms up okay okay ready ? 
MOT	so is that a bad alien ? 
CHI	let's try it and see is it a bad alien ? 
CHI	should we run away from it ? 
CHI	<yes> . 
MOT	<woohoo> . 
MOT	<okay so then it's arms down> +... 
CHI	<okay if the bad alien if it's blue> and it's red eyes with his arms down that means it is a bad alien which run away from it . 
MOT	okay . 
MOT	so then we <just steal> from it no ? 
CHI	<steal no> we should ask it for a gem . 
MOT	we should ask it for a gem <okay go for it> . 
CHI	<I don't know> . 
MOT	ask it for a gem . 
CHI	<stolen uh okay> . 
MOT	<stolen I see I told you> 'cause it had red eyes . 
CHI	red eyes right . 
MOT	and his arms up so steal from it . 
CHI	okay . 
CHI	hm . 
MOT	<uh that's> a good alien . 
CHI	<this is> so you wanna ask for a gem ? 
MOT	ask for a gem . 
CHI	okay we figured it out yay okay red eyes arms down means run away from it okay ready ? 
MOT	mhm . 
CHI	okay . 
MOT	so we wave . 
CHI	wave . 
CHI	oh . 
MOT	woohoo . 
CHI	yay we're good at this we figured out +... 
MOT	only took us thirty two aliens to figure it out . 
CHI	yup . 
CHI	no . 
MOT	okay so we steal from that one ? 
CHI	steal from it yeah . 
MOT	right ? 
CHI	yeah . 
CHI	yeah see we got it whoo . 
CHI	thirty three we only have a_little a_couple more so +... 
MOT	uh it's okay CHI's got it so we're gonna ask it for a gem I agree . 
MOT	woohoo . 
CHI	okay ready ? 
MOT	yup . 
CHI	<ask it for a gem> . 
MOT	<ask it for a gem> mhm . 
MOT	okay . 
MOT	ask it for a gem again what do you think ? 
CHI	mhm . 
MOT	okay . 
CHI	that was easy . 
CHI	oh <you wanna steal from it> ? 
MOT	<wanna <steal> from it>> [/] steal from it . 
CHI	aw what ? 
MOT	it was a friendly alien it had red eyes . 
CHI	okay maybe we need to figure it out . 
CHI	oh it's okay . 
MOT	hm I thought we had it . 
CHI	no . 
MOT	okay but it's still from this one . 
MOT	now I don't know the difference between them . 
CHI	okay . 
MOT	it's up to you you can either ask for a gem or steal one or you can +... 
CHI	steal from it . 
MOT	steal from it okay . 
MOT	okay . 
CHI	one hundred eighty . 
CHI	if we get both of these right then we can get two hundred . 
MOT	well is that the goal ? 
MOT	is there a goal I forget . 
CHI	no there's no goal but +... 
MOT	okay so that one I would say steal from him right ? 
CHI	yeah alright . 
MOT	no it was a <friendly alien> . 
CHI	<oh> it [/] it didn't have spots on it though . 
MOT	oh the spots make a difference ? 
CHI	maybe . 
MOT	I don't know we're only one alien away so we can figure it out that one I would say run away from . 
CHI	no . 
MOT	no has no spots so you think it's a good one ? 
CHI	just wave . 
MOT	okay go ahead wave for it . 
CHI	yes . 
MOT	you got it CHI guess the spots . 
MOT	I would say <most of the> +... 
CHI	<was there> a pattern to it ? 
INV	yeah did you_guys finish ? 
MOT	<most> of the aliens were I think good . 
CHI	<yeah> . 
