participant	content
CHI	no 'cause it's got no gem 'cause downward . 
CHI	we wave ? 
CHI	'cause downward means no gem remember ? 
MOT	if that's what actually the driver . 
CHI	it's gonna be wrong . 
CHI	<so it's got> [//] <so red eyes> I know I messed up . 
MOT	<you waved> I thought you were gonna +... 
CHI	I messed up . 
CHI	so this one's got a gem yeah <this one's got a gem> [/] this one's got a gem . 
CHI	it's got <a gem> . 
MOT	<this one> you ask for right ? 
CHI	ask ? 
CHI	why ? 
MOT	<ask> . 
CHI	<yes sure> . 
CHI	yep [/] yep . 
CHI	downward no gem . 
MOT	nope . 
CHI	I say <we run> . 
MOT	<run> . 
CHI	yup . 
MOT	why ? 
CHI	what ? 
MOT	it goes against the pattern so_far . 
CHI	this one we steal <or we> ask . 
MOT	<what if> the pattern changes ? 
CHI	no 'cause yeah <'cause it> [/] 'cause it was spots before . 
MOT	yeah . 
CHI	yeah . 
CHI	does the pattern <change on us> ? 
MOT	<when you pick> up the pattern it changes . 
INV	mm_mm . 
MOT	<doesn't matter> . 
INV	<I'll tell you what the> pattern is at the end but not yet . 
MOT	go . 
CHI	what do we do steal or ask ? 
CHI	I say we ask . 
CHI	yeah . 
CHI	one forty points here we come . 
CHI	downward no gem we wave . 
MOT	wave . 
CHI	yay . 
MOT	terrible this is embarrassing . 
CHI	aye it's enough gems for our ship to fly in . 
MOT	barely should <have double that> . 
CHI	<whoosh> we're gone . 
