participant	content	token	lemma	tagged_token	tagged_lemma	file
CHI	'cause he's not  he's not going  agh  at us but he's also going   know what i'm saying  	['because', 'he', 'is', 'not', 'he', 'is', 'not', 'going', 'agh', 'at', 'us', 'but', 'he', 'is', 'also', 'going', 'know', 'what', 'i', 'am', 'saying']	['because', 'he', 'be', 'not', 'he', 'be', 'not', 'go', 'agh', 'at', 'u', 'but', 'he', 'be', 'also', 'go', 'know', 'what', 'i', 'be', 'say']	[('because', 'IN'), ('he', 'PRP'), ('is', 'VBZ'), ('not', 'RB'), ('he', 'PRP'), ('is', 'VBZ'), ('not', 'RB'), ('going', 'VBG'), ('agh', 'NN'), ('at', 'IN'), ('us', 'PRP'), ('but', 'CC'), ('he', 'PRP'), ('is', 'VBZ'), ('also', 'RB'), ('going', 'VBG'), ('know', 'VB'), ('what', 'WP'), ('i', 'VB'), ('am', 'VBP'), ('saying', 'VBG')]	[('because', 'IN'), ('he', 'PRP'), ('be', 'VB'), ('not', 'RB'), ('he', 'PRP'), ('be', 'VB'), ('not', 'RB'), ('go', 'VB'), ('agh', 'RB'), ('at', 'IN'), ('u', 'JJ'), ('but', 'CC'), ('he', 'PRP'), ('be', 'VB'), ('also', 'RB'), ('go', 'VB'), ('know', 'VB'), ('what', 'WP'), ('i', 'JJ'), ('be', 'VB'), ('say', 'VBP')]	Dyad2-time1-condTD.txt
MOT	okay so you think downward posture okay and his eyes are wide open  	['okay', 'so', 'you', 'think', 'downward', 'posture', 'okay', 'and', 'his', 'eyes', 'are', 'wide', 'open']	['okay', 'so', 'you', 'think', 'downward', 'posture', 'okay', 'and', 'his', 'eye', 'be', 'wide', 'open']	[('okay', 'RB'), ('so', 'RB'), ('you', 'PRP'), ('think', 'VBP'), ('downward', 'JJ'), ('posture', 'NN'), ('okay', 'NN'), ('and', 'CC'), ('his', 'PRP$'), ('eyes', 'NNS'), ('are', 'VBP'), ('wide', 'JJ'), ('open', 'JJ')]	[('okay', 'RB'), ('so', 'RB'), ('you', 'PRP'), ('think', 'VBP'), ('downward', 'JJ'), ('posture', 'NN'), ('okay', 'NN'), ('and', 'CC'), ('his', 'PRP$'), ('eye', 'NN'), ('be', 'VB'), ('wide', 'JJ'), ('open', 'JJ')]	Dyad2-time1-condTD.txt
CHI	yeah he's unhappy   so do we  do we try and steal   i think it's a trick question 'cause the last one we tried to steal so i think they're trying to trick us 'cause then we were wrong  	['yeah', 'he', 'is', 'unhappy', 'so', 'do', 'we', 'do', 'we', 'try', 'and', 'steal', 'i', 'think', 'it', 'is', 'a', 'trick', 'question', 'because', 'the', 'last', 'one', 'we', 'tried', 'to', 'steal', 'so', 'i', 'think', 'they', 'are', 'trying', 'to', 'trick', 'us', 'because', 'then', 'we', 'were', 'wrong']	['yeah', 'he', 'be', 'unhappy', 'so', 'do', 'we', 'do', 'we', 'try', 'and', 'steal', 'i', 'think', 'it', 'be', 'a', 'trick', 'question', 'because', 'the', 'last', 'one', 'we', 'try', 'to', 'steal', 'so', 'i', 'think', 'they', 'be', 'try', 'to', 'trick', 'u', 'because', 'then', 'we', 'be', 'wrong']	[('yeah', 'NN'), ('he', 'PRP'), ('is', 'VBZ'), ('unhappy', 'JJ'), ('so', 'RB'), ('do', 'VBP'), ('we', 'PRP'), ('do', 'VB'), ('we', 'PRP'), ('try', 'VB'), ('and', 'CC'), ('steal', 'VB'), ('i', 'JJ'), ('think', 'VBP'), ('it', 'PRP'), ('is', 'VBZ'), ('a', 'DT'), ('trick', 'JJ'), ('question', 'NN'), ('because', 'IN'), ('the', 'DT'), ('last', 'JJ'), ('one', 'CD'), ('we', 'PRP'), ('tried', 'VBD'), ('to', 'TO'), ('steal', 'VB'), ('so', 'RB'), ('i', 'JJ'), ('think', 'VBP'), ('they', 'PRP'), ('are', 'VBP'), ('trying', 'VBG'), ('to', 'TO'), ('trick', 'VB'), ('us', 'PRP'), ('because', 'IN'), ('then', 'RB'), ('we', 'PRP'), ('were', 'VBD'), ('wrong', 'JJ')]	[('yeah', 'NN'), ('he', 'PRP'), ('be', 'VB'), ('unhappy', 'JJ'), ('so', 'RB'), ('do', 'VBP'), ('we', 'PRP'), ('do', 'VB'), ('we', 'PRP'), ('try', 'VB'), ('and', 'CC'), ('steal', 'VB'), ('i', 'JJ'), ('think', 'VBP'), ('it', 'PRP'), ('be', 'VB'), ('a', 'DT'), ('trick', 'JJ'), ('question', 'NN'), ('because', 'IN'), ('the', 'DT'), ('last', 'JJ'), ('one', 'CD'), ('we', 'PRP'), ('try', 'VBP'), ('to', 'TO'), ('steal', 'VB'), ('so', 'RB'), ('i', 'JJ'), ('think', 'VBP'), ('they', 'PRP'), ('be', 'VB'), ('try', 'VBN'), ('to', 'TO'), ('trick', 'VB'), ('u', 'NN'), ('because', 'IN'), ('then', 'RB'), ('we', 'PRP'), ('be', 'VB'), ('wrong', 'JJ')]	Dyad2-time1-condTD.txt
MOT	okay whatever you want   good one  	['okay', 'whatever', 'you', 'want', 'good', 'one']	['okay', 'whatever', 'you', 'want', 'good', 'one']	[('okay', 'RB'), ('whatever', 'WDT'), ('you', 'PRP'), ('want', 'VBP'), ('good', 'JJ'), ('one', 'CD')]	[('okay', 'RB'), ('whatever', 'WDT'), ('you', 'PRP'), ('want', 'VBP'), ('good', 'JJ'), ('one', 'CD')]	Dyad2-time1-condTD.txt
CHI	we don't talk about that okay that's another mad alien so you see   	['we', 'do', 'not', 'talk', 'about', 'that', 'okay', 'that', 'is', 'another', 'mad', 'alien', 'so', 'you', 'see']	['we', 'do', 'not', 'talk', 'about', 'that', 'okay', 'that', 'be', 'another', 'mad', 'alien', 'so', 'you', 'see']	[('we', 'PRP'), ('do', 'VBP'), ('not', 'RB'), ('talk', 'VB'), ('about', 'IN'), ('that', 'DT'), ('okay', 'NN'), ('that', 'WDT'), ('is', 'VBZ'), ('another', 'DT'), ('mad', 'JJ'), ('alien', 'NN'), ('so', 'IN'), ('you', 'PRP'), ('see', 'VBP')]	[('we', 'PRP'), ('do', 'VBP'), ('not', 'RB'), ('talk', 'VB'), ('about', 'IN'), ('that', 'DT'), ('okay', 'NN'), ('that', 'WDT'), ('be', 'VB'), ('another', 'DT'), ('mad', 'JJ'), ('alien', 'NN'), ('so', 'IN'), ('you', 'PRP'), ('see', 'VBP')]	Dyad2-time1-condTD.txt
MOT	yup so we try to steal from him not unless he has a gem  	['yup', 'so', 'we', 'try', 'to', 'steal', 'from', 'him', 'not', 'unless', 'he', 'has', 'a', 'gem']	['yup', 'so', 'we', 'try', 'to', 'steal', 'from', 'him', 'not', 'unless', 'he', 'have', 'a', 'gem']	[('yup', 'RB'), ('so', 'IN'), ('we', 'PRP'), ('try', 'VBP'), ('to', 'TO'), ('steal', 'VB'), ('from', 'IN'), ('him', 'PRP'), ('not', 'RB'), ('unless', 'IN'), ('he', 'PRP'), ('has', 'VBZ'), ('a', 'DT'), ('gem', 'NN')]	[('yup', 'RB'), ('so', 'IN'), ('we', 'PRP'), ('try', 'VBP'), ('to', 'TO'), ('steal', 'VB'), ('from', 'IN'), ('him', 'PRP'), ('not', 'RB'), ('unless', 'IN'), ('he', 'PRP'), ('have', 'VBP'), ('a', 'DT'), ('gem', 'NN')]	Dyad2-time1-condTD.txt
CHI	but  but i don't see a gem and neither did the other one   did the other one have a gem  	['but', 'but', 'i', 'do', 'not', 'see', 'a', 'gem', 'and', 'neither', 'did', 'the', 'other', 'one', 'did', 'the', 'other', 'one', 'have', 'a', 'gem']	['but', 'but', 'i', 'do', 'not', 'see', 'a', 'gem', 'and', 'neither', 'do', 'the', 'other', 'one', 'do', 'the', 'other', 'one', 'have', 'a', 'gem']	[('but', 'CC'), ('but', 'CC'), ('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('see', 'VB'), ('a', 'DT'), ('gem', 'NN'), ('and', 'CC'), ('neither', 'DT'), ('did', 'VBD'), ('the', 'DT'), ('other', 'JJ'), ('one', 'CD'), ('did', 'VBD'), ('the', 'DT'), ('other', 'JJ'), ('one', 'CD'), ('have', 'VBP'), ('a', 'DT'), ('gem', 'NN')]	[('but', 'CC'), ('but', 'CC'), ('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('see', 'VB'), ('a', 'DT'), ('gem', 'NN'), ('and', 'CC'), ('neither', 'DT'), ('do', 'VBP'), ('the', 'DT'), ('other', 'JJ'), ('one', 'CD'), ('do', 'VBP'), ('the', 'DT'), ('other', 'JJ'), ('one', 'CD'), ('have', 'VBP'), ('a', 'DT'), ('gem', 'NN')]	Dyad2-time1-condTD.txt
MOT	 they have gems but they're not necessarily obvious  	['they', 'have', 'gems', 'but', 'they', 'are', 'not', 'necessarily', 'obvious']	['they', 'have', 'gem', 'but', 'they', 'be', 'not', 'necessarily', 'obvious']	[('they', 'PRP'), ('have', 'VBP'), ('gems', 'NNS'), ('but', 'CC'), ('they', 'PRP'), ('are', 'VBP'), ('not', 'RB'), ('necessarily', 'RB'), ('obvious', 'JJ')]	[('they', 'PRP'), ('have', 'VBP'), ('gem', 'VBN'), ('but', 'CC'), ('they', 'PRP'), ('be', 'VB'), ('not', 'RB'), ('necessarily', 'RB'), ('obvious', 'JJ')]	Dyad2-time1-condTD.txt
CHI	 see how his eyes are red   i think that's a key that we gotta run and on all the other ones where they're going  agh  the eyes were white we gotta steal a gem   know what i'm saying  	['see', 'how', 'his', 'eyes', 'are', 'red', 'i', 'think', 'that', 'is', 'a', 'key', 'that', 'we', 'got', 'ta', 'run', 'and', 'on', 'all', 'the', 'other', 'ones', 'where', 'they', 'are', 'going', 'agh', 'the', 'eyes', 'were', 'white', 'we', 'got', 'ta', 'steal', 'a', 'gem', 'know', 'what', 'i', 'am', 'saying']	['see', 'how', 'his', 'eye', 'be', 'red', 'i', 'think', 'that', 'be', 'a', 'key', 'that', 'we', 'get', 'ta', 'run', 'and', 'on', 'all', 'the', 'other', 'one', 'where', 'they', 'be', 'go', 'agh', 'the', 'eye', 'be', 'white', 'we', 'get', 'ta', 'steal', 'a', 'gem', 'know', 'what', 'i', 'be', 'say']	[('see', 'VB'), ('how', 'WRB'), ('his', 'PRP$'), ('eyes', 'NNS'), ('are', 'VBP'), ('red', 'JJ'), ('i', 'JJ'), ('think', 'VBP'), ('that', 'WDT'), ('is', 'VBZ'), ('a', 'DT'), ('key', 'JJ'), ('that', 'IN'), ('we', 'PRP'), ('got', 'VBD'), ('ta', 'JJ'), ('run', 'NN'), ('and', 'CC'), ('on', 'IN'), ('all', 'PDT'), ('the', 'DT'), ('other', 'JJ'), ('ones', 'NNS'), ('where', 'WRB'), ('they', 'PRP'), ('are', 'VBP'), ('going', 'VBG'), ('agh', 'IN'), ('the', 'DT'), ('eyes', 'NNS'), ('were', 'VBD'), ('white', 'JJ'), ('we', 'PRP'), ('got', 'VBD'), ('ta', 'JJ'), ('steal', 'VB'), ('a', 'DT'), ('gem', 'NN'), ('know', 'VBP'), ('what', 'WP'), ('i', 'VBP'), ('am', 'VBP'), ('saying', 'VBG')]	[('see', 'VB'), ('how', 'WRB'), ('his', 'PRP$'), ('eye', 'NN'), ('be', 'VB'), ('red', 'JJ'), ('i', 'JJ'), ('think', 'VBP'), ('that', 'IN'), ('be', 'VB'), ('a', 'DT'), ('key', 'JJ'), ('that', 'IN'), ('we', 'PRP'), ('get', 'VBP'), ('ta', 'JJ'), ('run', 'NN'), ('and', 'CC'), ('on', 'IN'), ('all', 'PDT'), ('the', 'DT'), ('other', 'JJ'), ('one', 'CD'), ('where', 'WRB'), ('they', 'PRP'), ('be', 'VB'), ('go', 'VBN'), ('agh', 'IN'), ('the', 'DT'), ('eye', 'NN'), ('be', 'VB'), ('white', 'JJ'), ('we', 'PRP'), ('get', 'VBP'), ('ta', 'JJ'), ('steal', 'VB'), ('a', 'DT'), ('gem', 'NN'), ('know', 'VBP'), ('what', 'WP'), ('i', 'JJ'), ('be', 'VB'), ('say', 'VBP')]	Dyad2-time1-condTD.txt
MOT	i don't know why you would think that but   can you stop going with your method now  	['i', 'do', 'not', 'know', 'why', 'you', 'would', 'think', 'that', 'but', 'can', 'you', 'stop', 'going', 'with', 'your', 'method', 'now']	['i', 'do', 'not', 'know', 'why', 'you', 'would', 'think', 'that', 'but', 'can', 'you', 'stop', 'go', 'with', 'your', 'method', 'now']	[('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('know', 'VB'), ('why', 'WRB'), ('you', 'PRP'), ('would', 'MD'), ('think', 'VB'), ('that', 'IN'), ('but', 'CC'), ('can', 'MD'), ('you', 'PRP'), ('stop', 'VB'), ('going', 'VBG'), ('with', 'IN'), ('your', 'PRP$'), ('method', 'NN'), ('now', 'RB')]	[('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('know', 'VB'), ('why', 'WRB'), ('you', 'PRP'), ('would', 'MD'), ('think', 'VB'), ('that', 'IN'), ('but', 'CC'), ('can', 'MD'), ('you', 'PRP'), ('stop', 'VB'), ('go', 'VB'), ('with', 'IN'), ('your', 'PRP$'), ('method', 'NN'), ('now', 'RB')]	Dyad2-time1-condTD.txt
CHI	yep  yep alright go on  	['yep', 'yep', 'alright', 'go', 'on']	['yep', 'yep', 'alright', 'go', 'on']	[('yep', 'NN'), ('yep', 'NN'), ('alright', 'VBD'), ('go', 'VB'), ('on', 'IN')]	[('yep', 'NN'), ('yep', 'NN'), ('alright', 'VBD'), ('go', 'VB'), ('on', 'IN')]	Dyad2-time1-condTD.txt
MOT	okay i think you try and get the gem from him   i don't    okay goahead go with that one  	['okay', 'i', 'think', 'you', 'try', 'and', 'get', 'the', 'gem', 'from', 'him', 'i', 'do', 'not', 'okay', 'goahead', 'go', 'with', 'that', 'one']	['okay', 'i', 'think', 'you', 'try', 'and', 'get', 'the', 'gem', 'from', 'him', 'i', 'do', 'not', 'okay', 'goahead', 'go', 'with', 'that', 'one']	[('okay', 'NN'), ('i', 'NN'), ('think', 'VBP'), ('you', 'PRP'), ('try', 'VBP'), ('and', 'CC'), ('get', 'VBP'), ('the', 'DT'), ('gem', 'NN'), ('from', 'IN'), ('him', 'PRP'), ('i', 'VB'), ('do', 'VBP'), ('not', 'RB'), ('okay', 'VB'), ('goahead', 'UH'), ('go', 'VB'), ('with', 'IN'), ('that', 'DT'), ('one', 'CD')]	[('okay', 'NN'), ('i', 'NN'), ('think', 'VBP'), ('you', 'PRP'), ('try', 'VBP'), ('and', 'CC'), ('get', 'VBP'), ('the', 'DT'), ('gem', 'NN'), ('from', 'IN'), ('him', 'PRP'), ('i', 'VB'), ('do', 'VBP'), ('not', 'RB'), ('okay', 'VB'), ('goahead', 'UH'), ('go', 'VB'), ('with', 'IN'), ('that', 'DT'), ('one', 'CD')]	Dyad2-time1-condTD.txt
CHI	that's  that's the steal  	['that', 'is', 'that', 'is', 'the', 'steal']	['that', 'be', 'that', 'be', 'the', 'steal']	[('that', 'DT'), ('is', 'VBZ'), ('that', 'DT'), ('is', 'VBZ'), ('the', 'DT'), ('steal', 'NN')]	[('that', 'DT'), ('be', 'VB'), ('that', 'IN'), ('be', 'VB'), ('the', 'DT'), ('steal', 'NN')]	Dyad2-time1-condTD.txt
MOT	sure goahead  	['sure', 'goahead']	['sure', 'goahead']	[('sure', 'JJ'), ('goahead', 'UH')]	[('sure', 'JJ'), ('goahead', 'UH')]	Dyad2-time1-condTD.txt
CHI	i think you're gonna beat us on this one ahem okay so this one's an angry alien  	"['i', 'think', 'you', 'are', 'gon', 'na', 'beat', 'us', 'on', 'this', 'one', 'ahem', 'okay', 'so', 'this', 'one', ""'s"", 'an', 'angry', 'alien']"	"['i', 'think', 'you', 'be', 'gon', 'na', 'beat', 'u', 'on', 'this', 'one', 'ahem', 'okay', 'so', 'this', 'one', ""'s"", 'an', 'angry', 'alien']"	"[('i', 'NN'), ('think', 'VBP'), ('you', 'PRP'), ('are', 'VBP'), ('gon', 'VBG'), ('na', 'TO'), ('beat', 'VB'), ('us', 'PRP'), ('on', 'IN'), ('this', 'DT'), ('one', 'CD'), ('ahem', 'NN'), ('okay', 'VBZ'), ('so', 'RB'), ('this', 'DT'), ('one', 'NN'), (""'s"", 'POS'), ('an', 'DT'), ('angry', 'JJ'), ('alien', 'NN')]"	"[('i', 'NN'), ('think', 'VBP'), ('you', 'PRP'), ('be', 'VB'), ('gon', 'VBN'), ('na', 'TO'), ('beat', 'VB'), ('u', 'JJ'), ('on', 'IN'), ('this', 'DT'), ('one', 'CD'), ('ahem', 'NN'), ('okay', 'VBZ'), ('so', 'RB'), ('this', 'DT'), ('one', 'NN'), (""'s"", 'POS'), ('an', 'DT'), ('angry', 'JJ'), ('alien', 'NN')]"	Dyad2-time1-condTD.txt
MOT	yep fair enough  	['yep', 'fair', 'enough']	['yep', 'fair', 'enough']	[('yep', 'RB'), ('fair', 'JJ'), ('enough', 'RB')]	[('yep', 'RB'), ('fair', 'JJ'), ('enough', 'RB')]	Dyad2-time1-condTD.txt
CHI	so with the last one we were supposed to steal one  	['so', 'with', 'the', 'last', 'one', 'we', 'were', 'supposed', 'to', 'steal', 'one']	['so', 'with', 'the', 'last', 'one', 'we', 'be', 'suppose', 'to', 'steal', 'one']	[('so', 'RB'), ('with', 'IN'), ('the', 'DT'), ('last', 'JJ'), ('one', 'CD'), ('we', 'PRP'), ('were', 'VBD'), ('supposed', 'VBN'), ('to', 'TO'), ('steal', 'VB'), ('one', 'CD')]	[('so', 'RB'), ('with', 'IN'), ('the', 'DT'), ('last', 'JJ'), ('one', 'CD'), ('we', 'PRP'), ('be', 'VB'), ('suppose', 'VBN'), ('to', 'TO'), ('steal', 'VB'), ('one', 'CD')]	Dyad2-time1-condTD.txt
MOT	the last one had downward posture but  	['the', 'last', 'one', 'had', 'downward', 'posture', 'but']	['the', 'last', 'one', 'have', 'downward', 'posture', 'but']	[('the', 'DT'), ('last', 'JJ'), ('one', 'CD'), ('had', 'VBD'), ('downward', 'JJ'), ('posture', 'NN'), ('but', 'CC')]	[('the', 'DT'), ('last', 'JJ'), ('one', 'CD'), ('have', 'VBP'), ('downward', 'JJ'), ('posture', 'NN'), ('but', 'CC')]	Dyad2-time1-condTD.txt
CHI	red eyes   screwit why not  	['red', 'eyes', 'screwit', 'why', 'not']	['red', 'eye', 'screwit', 'why', 'not']	[('red', 'JJ'), ('eyes', 'NNS'), ('screwit', 'UH'), ('why', 'WRB'), ('not', 'RB')]	[('red', 'JJ'), ('eye', 'NN'), ('screwit', 'UH'), ('why', 'WRB'), ('not', 'RB')]	Dyad2-time1-condTD.txt
MOT	trying to steal it  	['trying', 'to', 'steal', 'it']	['try', 'to', 'steal', 'it']	[('trying', 'VBG'), ('to', 'TO'), ('steal', 'VB'), ('it', 'PRP')]	[('try', 'NN'), ('to', 'TO'), ('steal', 'VB'), ('it', 'PRP')]	Dyad2-time1-condTD.txt
CHI	yeah boom god  	['yeah', 'boom', 'god']	['yeah', 'boom', 'god']	[('yeah', 'NN'), ('boom', 'NN'), ('god', 'NN')]	[('yeah', 'NN'), ('boom', 'NN'), ('god', 'NN')]	Dyad2-time1-condTD.txt
MOT	 okay let's  	['okay', 'let', 'us']	['okay', 'let', 'u']	[('okay', 'JJ'), ('let', 'VB'), ('us', 'PRP')]	[('okay', 'JJ'), ('let', 'NN'), ('u', 'NN')]	Dyad2-time1-condTD.txt
