participant	content	token	lemma	tagged_token	tagged_lemma	file
INV	so now you can press the spacebar  	['so', 'now', 'you', 'can', 'press', 'the', 'spacebar']	['so', 'now', 'you', 'can', 'press', 'the', 'spacebar']	[('so', 'RB'), ('now', 'RB'), ('you', 'PRP'), ('can', 'MD'), ('press', 'VB'), ('the', 'DT'), ('spacebar', 'NN')]	[('so', 'RB'), ('now', 'RB'), ('you', 'PRP'), ('can', 'MD'), ('press', 'VB'), ('the', 'DT'), ('spacebar', 'NN')]	Dyad1-time1-condTD.txt
CHI	that one looks bad  	['that', 'one', 'looks', 'bad']	['that', 'one', 'look', 'bad']	[('that', 'DT'), ('one', 'CD'), ('looks', 'VBZ'), ('bad', 'JJ')]	[('that', 'DT'), ('one', 'CD'), ('look', 'NN'), ('bad', 'JJ')]	Dyad1-time1-condTD.txt
MOT	that one looks  he looks the same as the other alien except his eyes are red   you see that he's a bad one so what do you want to do steal his gem   or do you wanna run away  	['that', 'one', 'looks', 'he', 'looks', 'the', 'same', 'as', 'the', 'other', 'alien', 'except', 'his', 'eyes', 'are', 'red', 'you', 'see', 'that', 'he', 'is', 'a', 'bad', 'one', 'so', 'what', 'do', 'you', 'want', 'to', 'do', 'steal', 'his', 'gem', 'or', 'do', 'you', 'wan', 'na', 'run', 'away']	['that', 'one', 'look', 'he', 'look', 'the', 'same', 'a', 'the', 'other', 'alien', 'except', 'his', 'eye', 'be', 'red', 'you', 'see', 'that', 'he', 'be', 'a', 'bad', 'one', 'so', 'what', 'do', 'you', 'want', 'to', 'do', 'steal', 'his', 'gem', 'or', 'do', 'you', 'wan', 'na', 'run', 'away']	[('that', 'DT'), ('one', 'CD'), ('looks', 'VBZ'), ('he', 'PRP'), ('looks', 'VBZ'), ('the', 'DT'), ('same', 'JJ'), ('as', 'IN'), ('the', 'DT'), ('other', 'JJ'), ('alien', 'NN'), ('except', 'IN'), ('his', 'PRP$'), ('eyes', 'NNS'), ('are', 'VBP'), ('red', 'JJ'), ('you', 'PRP'), ('see', 'VBP'), ('that', 'IN'), ('he', 'PRP'), ('is', 'VBZ'), ('a', 'DT'), ('bad', 'JJ'), ('one', 'CD'), ('so', 'RB'), ('what', 'WP'), ('do', 'VBP'), ('you', 'PRP'), ('want', 'VB'), ('to', 'TO'), ('do', 'VB'), ('steal', 'VB'), ('his', 'PRP$'), ('gem', 'NN'), ('or', 'CC'), ('do', 'VB'), ('you', 'PRP'), ('wan', 'VB'), ('na', 'TO'), ('run', 'VB'), ('away', 'RP')]	[('that', 'DT'), ('one', 'CD'), ('look', 'NN'), ('he', 'PRP'), ('look', 'VBD'), ('the', 'DT'), ('same', 'JJ'), ('a', 'DT'), ('the', 'DT'), ('other', 'JJ'), ('alien', 'NN'), ('except', 'IN'), ('his', 'PRP$'), ('eye', 'NN'), ('be', 'VB'), ('red', 'JJ'), ('you', 'PRP'), ('see', 'VBP'), ('that', 'IN'), ('he', 'PRP'), ('be', 'VB'), ('a', 'DT'), ('bad', 'JJ'), ('one', 'CD'), ('so', 'RB'), ('what', 'WP'), ('do', 'VBP'), ('you', 'PRP'), ('want', 'VB'), ('to', 'TO'), ('do', 'VB'), ('steal', 'VB'), ('his', 'PRP$'), ('gem', 'NN'), ('or', 'CC'), ('do', 'VB'), ('you', 'PRP'), ('wan', 'VB'), ('na', 'TO'), ('run', 'VB'), ('away', 'RP')]	Dyad1-time1-condTD.txt
CHI	steal his gem  	['steal', 'his', 'gem']	['steal', 'his', 'gem']	[('steal', 'VB'), ('his', 'PRP$'), ('gem', 'NN')]	[('steal', 'VB'), ('his', 'PRP$'), ('gem', 'NN')]	Dyad1-time1-condTD.txt
MOT	nope we should have just waved at it it was a friendly one   i don't know the difference between them yet  	['nope', 'we', 'should', 'have', 'just', 'waved', 'at', 'it', 'it', 'was', 'a', 'friendly', 'one', 'i', 'do', 'not', 'know', 'the', 'difference', 'between', 'them', 'yet']	['nope', 'we', 'should', 'have', 'just', 'wave', 'at', 'it', 'it', 'be', 'a', 'friendly', 'one', 'i', 'do', 'not', 'know', 'the', 'difference', 'between', 'them', 'yet']	[('nope', 'NN'), ('we', 'PRP'), ('should', 'MD'), ('have', 'VB'), ('just', 'RB'), ('waved', 'VBN'), ('at', 'IN'), ('it', 'PRP'), ('it', 'PRP'), ('was', 'VBD'), ('a', 'DT'), ('friendly', 'JJ'), ('one', 'CD'), ('i', 'NN'), ('do', 'VBP'), ('not', 'RB'), ('know', 'VB'), ('the', 'DT'), ('difference', 'NN'), ('between', 'IN'), ('them', 'PRP'), ('yet', 'RB')]	[('nope', 'NN'), ('we', 'PRP'), ('should', 'MD'), ('have', 'VB'), ('just', 'RB'), ('wave', 'VBN'), ('at', 'IN'), ('it', 'PRP'), ('it', 'PRP'), ('be', 'VB'), ('a', 'DT'), ('friendly', 'JJ'), ('one', 'CD'), ('i', 'NN'), ('do', 'VBP'), ('not', 'RB'), ('know', 'VB'), ('the', 'DT'), ('difference', 'NN'), ('between', 'IN'), ('them', 'PRP'), ('yet', 'RB')]	Dyad1-time1-condTD.txt
CHI	okay ready   i think if they're going     that one's an angry alien  	"['okay', 'ready', 'i', 'think', 'if', 'they', 'are', 'going', 'that', 'one', ""'s"", 'an', 'angry', 'alien']"	"['okay', 'ready', 'i', 'think', 'if', 'they', 'be', 'go', 'that', 'one', ""'s"", 'an', 'angry', 'alien']"	"[('okay', 'IN'), ('ready', 'JJ'), ('i', 'NN'), ('think', 'VBP'), ('if', 'IN'), ('they', 'PRP'), ('are', 'VBP'), ('going', 'VBG'), ('that', 'IN'), ('one', 'CD'), (""'s"", 'VBZ'), ('an', 'DT'), ('angry', 'JJ'), ('alien', 'NN')]"	"[('okay', 'IN'), ('ready', 'JJ'), ('i', 'NN'), ('think', 'VBP'), ('if', 'IN'), ('they', 'PRP'), ('be', 'VB'), ('go', 'VBP'), ('that', 'IN'), ('one', 'CD'), (""'s"", 'VBZ'), ('an', 'DT'), ('angry', 'JJ'), ('alien', 'NN')]"	Dyad1-time1-condTD.txt
MOT	you think that one's angry  	"['you', 'think', 'that', 'one', ""'s"", 'angry']"	"['you', 'think', 'that', 'one', ""'s"", 'angry']"	"[('you', 'PRP'), ('think', 'VBP'), ('that', 'IN'), ('one', 'CD'), (""'s"", 'POS'), ('angry', 'JJ')]"	"[('you', 'PRP'), ('think', 'VBP'), ('that', 'IN'), ('one', 'CD'), (""'s"", 'POS'), ('angry', 'JJ')]"	Dyad1-time1-condTD.txt
CHI	what should we do  	['what', 'should', 'we', 'do']	['what', 'should', 'we', 'do']	[('what', 'WP'), ('should', 'MD'), ('we', 'PRP'), ('do', 'VB')]	[('what', 'WP'), ('should', 'MD'), ('we', 'PRP'), ('do', 'VB')]	Dyad1-time1-condTD.txt
MOT	do you wanna run away  	['do', 'you', 'wan', 'na', 'run', 'away']	['do', 'you', 'wan', 'na', 'run', 'away']	[('do', 'VB'), ('you', 'PRP'), ('wan', 'VB'), ('na', 'TO'), ('run', 'VB'), ('away', 'RP')]	[('do', 'VB'), ('you', 'PRP'), ('wan', 'VB'), ('na', 'TO'), ('run', 'VB'), ('away', 'RP')]	Dyad1-time1-condTD.txt
CHI	does it look scary   you wanna steal a gem from it   steal a gem  	['does', 'it', 'look', 'scary', 'you', 'wan', 'na', 'steal', 'a', 'gem', 'from', 'it', 'steal', 'a', 'gem']	['do', 'it', 'look', 'scary', 'you', 'wan', 'na', 'steal', 'a', 'gem', 'from', 'it', 'steal', 'a', 'gem']	[('does', 'VBZ'), ('it', 'PRP'), ('look', 'VB'), ('scary', 'JJ'), ('you', 'PRP'), ('wan', 'VBP'), ('na', 'TO'), ('steal', 'VB'), ('a', 'DT'), ('gem', 'NN'), ('from', 'IN'), ('it', 'PRP'), ('steal', 'VBZ'), ('a', 'DT'), ('gem', 'NN')]	[('do', 'VB'), ('it', 'PRP'), ('look', 'VB'), ('scary', 'JJ'), ('you', 'PRP'), ('wan', 'VBP'), ('na', 'TO'), ('steal', 'VB'), ('a', 'DT'), ('gem', 'NN'), ('from', 'IN'), ('it', 'PRP'), ('steal', 'VBZ'), ('a', 'DT'), ('gem', 'NN')]	Dyad1-time1-condTD.txt
MOT	steal a gem okay you made the right choice  	['steal', 'a', 'gem', 'okay', 'you', 'made', 'the', 'right', 'choice']	['steal', 'a', 'gem', 'okay', 'you', 'make', 'the', 'right', 'choice']	[('steal', 'VB'), ('a', 'DT'), ('gem', 'NN'), ('okay', 'NN'), ('you', 'PRP'), ('made', 'VBD'), ('the', 'DT'), ('right', 'JJ'), ('choice', 'NN')]	[('steal', 'VB'), ('a', 'DT'), ('gem', 'NN'), ('okay', 'NN'), ('you', 'PRP'), ('make', 'VBP'), ('the', 'DT'), ('right', 'NN'), ('choice', 'NN')]	Dyad1-time1-condTD.txt
CHI	okay ready  	['okay', 'ready']	['okay', 'ready']	[('okay', 'NNS'), ('ready', 'JJ')]	[('okay', 'NNS'), ('ready', 'JJ')]	Dyad1-time1-condTD.txt
MOT	so to that it looks like another bad alien   so what wanna do  	['so', 'to', 'that', 'it', 'looks', 'like', 'another', 'bad', 'alien', 'so', 'what', 'wan', 'na', 'do']	['so', 'to', 'that', 'it', 'look', 'like', 'another', 'bad', 'alien', 'so', 'what', 'wan', 'na', 'do']	[('so', 'RB'), ('to', 'TO'), ('that', 'IN'), ('it', 'PRP'), ('looks', 'VBZ'), ('like', 'IN'), ('another', 'DT'), ('bad', 'JJ'), ('alien', 'NN'), ('so', 'IN'), ('what', 'WP'), ('wan', 'NN'), ('na', 'NN'), ('do', 'VBP')]	[('so', 'RB'), ('to', 'TO'), ('that', 'IN'), ('it', 'PRP'), ('look', 'VBZ'), ('like', 'IN'), ('another', 'DT'), ('bad', 'JJ'), ('alien', 'NN'), ('so', 'IN'), ('what', 'WP'), ('wan', 'NN'), ('na', 'NN'), ('do', 'VBP')]	Dyad1-time1-condTD.txt
CHI	what do you wanna do  	['what', 'do', 'you', 'wan', 'na', 'do']	['what', 'do', 'you', 'wan', 'na', 'do']	[('what', 'WP'), ('do', 'VBP'), ('you', 'PRP'), ('wan', 'VB'), ('na', 'NNS'), ('do', 'VB')]	[('what', 'WP'), ('do', 'VBP'), ('you', 'PRP'), ('wan', 'VB'), ('na', 'NNS'), ('do', 'VB')]	Dyad1-time1-condTD.txt
MOT	did we steal last time   okay so then yeah  	['did', 'we', 'steal', 'last', 'time', 'okay', 'so', 'then', 'yeah']	['do', 'we', 'steal', 'last', 'time', 'okay', 'so', 'then', 'yeah']	[('did', 'VBD'), ('we', 'PRP'), ('steal', 'VB'), ('last', 'JJ'), ('time', 'NN'), ('okay', 'VBD'), ('so', 'RB'), ('then', 'RB'), ('yeah', 'VB')]	[('do', 'VBP'), ('we', 'PRP'), ('steal', 'VB'), ('last', 'JJ'), ('time', 'NN'), ('okay', 'VBD'), ('so', 'RB'), ('then', 'RB'), ('yeah', 'VB')]	Dyad1-time1-condTD.txt
CHI	it's probably with  	['it', 'is', 'probably', 'with']	['it', 'be', 'probably', 'with']	[('it', 'PRP'), ('is', 'VBZ'), ('probably', 'RB'), ('with', 'IN')]	[('it', 'PRP'), ('be', 'VB'), ('probably', 'RB'), ('with', 'IN')]	Dyad1-time1-condTD.txt
MOT	there you go  	['there', 'you', 'go']	['there', 'you', 'go']	[('there', 'RB'), ('you', 'PRP'), ('go', 'VBP')]	[('there', 'RB'), ('you', 'PRP'), ('go', 'VBP')]	Dyad1-time1-condTD.txt
CHI	okay can youguys   you're supposed to be downstairs  	['okay', 'can', 'youguys', 'you', 'are', 'supposed', 'to', 'be', 'downstairs']	['okay', 'can', 'youguys', 'you', 'be', 'suppose', 'to', 'be', 'downstairs']	[('okay', 'NN'), ('can', 'MD'), ('youguys', 'PRP'), ('you', 'PRP'), ('are', 'VBP'), ('supposed', 'VBN'), ('to', 'TO'), ('be', 'VB'), ('downstairs', 'NNS')]	[('okay', 'NN'), ('can', 'MD'), ('youguys', 'PRP'), ('you', 'PRP'), ('be', 'VB'), ('suppose', 'VBN'), ('to', 'TO'), ('be', 'VB'), ('downstairs', 'NNS')]	Dyad1-time1-condTD.txt
MOT	i asked you to be downstairs   so it's a  a friendly one so we should just wave at it  	['i', 'asked', 'you', 'to', 'be', 'downstairs', 'so', 'it', 'is', 'a', 'a', 'friendly', 'one', 'so', 'we', 'should', 'just', 'wave', 'at', 'it']	['i', 'ask', 'you', 'to', 'be', 'downstairs', 'so', 'it', 'be', 'a', 'a', 'friendly', 'one', 'so', 'we', 'should', 'just', 'wave', 'at', 'it']	[('i', 'NN'), ('asked', 'VBD'), ('you', 'PRP'), ('to', 'TO'), ('be', 'VB'), ('downstairs', 'NNS'), ('so', 'IN'), ('it', 'PRP'), ('is', 'VBZ'), ('a', 'DT'), ('a', 'DT'), ('friendly', 'JJ'), ('one', 'CD'), ('so', 'IN'), ('we', 'PRP'), ('should', 'MD'), ('just', 'RB'), ('wave', 'VB'), ('at', 'IN'), ('it', 'PRP')]	[('i', 'NN'), ('ask', 'VBP'), ('you', 'PRP'), ('to', 'TO'), ('be', 'VB'), ('downstairs', 'NNS'), ('so', 'IN'), ('it', 'PRP'), ('be', 'VB'), ('a', 'DT'), ('a', 'DT'), ('friendly', 'JJ'), ('one', 'CD'), ('so', 'IN'), ('we', 'PRP'), ('should', 'MD'), ('just', 'RB'), ('wave', 'VB'), ('at', 'IN'), ('it', 'PRP')]	Dyad1-time1-condTD.txt
CHI	friendly one  	['friendly', 'one']	['friendly', 'one']	[('friendly', 'RB'), ('one', 'CD')]	[('friendly', 'RB'), ('one', 'CD')]	Dyad1-time1-condTD.txt
MOT	right since it told us to do every time when we were trying to ask for a gem so try waving   you can't play right there    he's really buff  	['right', 'since', 'it', 'told', 'us', 'to', 'do', 'every', 'time', 'when', 'we', 'were', 'trying', 'to', 'ask', 'for', 'a', 'gem', 'so', 'try', 'waving', 'you', 'can', 'not', 'play', 'right', 'there', 'he', 'is', 'really', 'buff']	['right', 'since', 'it', 'tell', 'u', 'to', 'do', 'every', 'time', 'when', 'we', 'be', 'try', 'to', 'ask', 'for', 'a', 'gem', 'so', 'try', 'wave', 'you', 'can', 'not', 'play', 'right', 'there', 'he', 'be', 'really', 'buff']	[('right', 'RB'), ('since', 'IN'), ('it', 'PRP'), ('told', 'VBD'), ('us', 'PRP'), ('to', 'TO'), ('do', 'VB'), ('every', 'DT'), ('time', 'NN'), ('when', 'WRB'), ('we', 'PRP'), ('were', 'VBD'), ('trying', 'VBG'), ('to', 'TO'), ('ask', 'VB'), ('for', 'IN'), ('a', 'DT'), ('gem', 'NN'), ('so', 'RB'), ('try', 'VB'), ('waving', 'VBG'), ('you', 'PRP'), ('can', 'MD'), ('not', 'RB'), ('play', 'VB'), ('right', 'RB'), ('there', 'EX'), ('he', 'PRP'), ('is', 'VBZ'), ('really', 'RB'), ('buff', 'JJ')]	[('right', 'RB'), ('since', 'IN'), ('it', 'PRP'), ('tell', 'VBP'), ('u', 'JJ'), ('to', 'TO'), ('do', 'VB'), ('every', 'DT'), ('time', 'NN'), ('when', 'WRB'), ('we', 'PRP'), ('be', 'VB'), ('try', 'VBN'), ('to', 'TO'), ('ask', 'VB'), ('for', 'IN'), ('a', 'DT'), ('gem', 'NN'), ('so', 'RB'), ('try', 'JJ'), ('wave', 'VBP'), ('you', 'PRP'), ('can', 'MD'), ('not', 'RB'), ('play', 'VB'), ('right', 'RB'), ('there', 'EX'), ('he', 'PRP'), ('be', 'VB'), ('really', 'RB'), ('buff', 'JJ')]	Dyad1-time1-condTD.txt
CHI	 we should probably run away from this one  	['we', 'should', 'probably', 'run', 'away', 'from', 'this', 'one']	['we', 'should', 'probably', 'run', 'away', 'from', 'this', 'one']	[('we', 'PRP'), ('should', 'MD'), ('probably', 'RB'), ('run', 'VB'), ('away', 'RB'), ('from', 'IN'), ('this', 'DT'), ('one', 'CD')]	[('we', 'PRP'), ('should', 'MD'), ('probably', 'RB'), ('run', 'VB'), ('away', 'RB'), ('from', 'IN'), ('this', 'DT'), ('one', 'CD')]	Dyad1-time1-condTD.txt
MOT	run away that's probably good 'cause he looks really scary   aw that was a friendly alien   i don't know how to  	['run', 'away', 'that', 'is', 'probably', 'good', 'because', 'he', 'looks', 'really', 'scary', 'aw', 'that', 'was', 'a', 'friendly', 'alien', 'i', 'do', 'not', 'know', 'how', 'to']	['run', 'away', 'that', 'be', 'probably', 'good', 'because', 'he', 'look', 'really', 'scary', 'aw', 'that', 'be', 'a', 'friendly', 'alien', 'i', 'do', 'not', 'know', 'how', 'to']	[('run', 'VB'), ('away', 'RP'), ('that', 'DT'), ('is', 'VBZ'), ('probably', 'RB'), ('good', 'JJ'), ('because', 'IN'), ('he', 'PRP'), ('looks', 'VBZ'), ('really', 'RB'), ('scary', 'JJ'), ('aw', 'NN'), ('that', 'WDT'), ('was', 'VBD'), ('a', 'DT'), ('friendly', 'JJ'), ('alien', 'NN'), ('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('know', 'VB'), ('how', 'WRB'), ('to', 'TO')]	[('run', 'VB'), ('away', 'RP'), ('that', 'IN'), ('be', 'VB'), ('probably', 'RB'), ('good', 'JJ'), ('because', 'IN'), ('he', 'PRP'), ('look', 'VBZ'), ('really', 'RB'), ('scary', 'JJ'), ('aw', 'NN'), ('that', 'WDT'), ('be', 'VB'), ('a', 'DT'), ('friendly', 'JJ'), ('alien', 'NN'), ('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('know', 'VB'), ('how', 'WRB'), ('to', 'TO')]	Dyad1-time1-condTD.txt
CHI	 maybe it's the ones with spots    that one looks like  	['maybe', 'it', 'is', 'the', 'ones', 'with', 'spots', 'that', 'one', 'looks', 'like']	['maybe', 'it', 'be', 'the', 'one', 'with', 'spot', 'that', 'one', 'look', 'like']	[('maybe', 'RB'), ('it', 'PRP'), ('is', 'VBZ'), ('the', 'DT'), ('ones', 'NNS'), ('with', 'IN'), ('spots', 'NNS'), ('that', 'WDT'), ('one', 'CD'), ('looks', 'VBZ'), ('like', 'IN')]	[('maybe', 'RB'), ('it', 'PRP'), ('be', 'VB'), ('the', 'DT'), ('one', 'NN'), ('with', 'IN'), ('spot', 'NN'), ('that', 'WDT'), ('one', 'CD'), ('look', 'NN'), ('like', 'IN')]	Dyad1-time1-condTD.txt
