original_index	participant	content	token	lemma	tagged_token	tagged_lemma	original_file	file
14	CHI	is it biased to the greens    is that    it's a friendly one   it was all like  grr   	['is', 'it', 'biased', 'to', 'the', 'greens', 'is', 'that', 'it', 'is', 'a', 'friendly', 'one', 'it', 'was', 'all', 'like', 'grr']	['be', 'it', 'bias', 'to', 'the', 'green', 'be', 'that', 'it', 'be', 'a', 'friendly', 'one', 'it', 'be', 'all', 'like', 'grr']	[('is', 'VBZ'), ('it', 'PRP'), ('biased', 'VBD'), ('to', 'TO'), ('the', 'DT'), ('greens', 'NNS'), ('is', 'VBZ'), ('that', 'IN'), ('it', 'PRP'), ('is', 'VBZ'), ('a', 'DT'), ('friendly', 'JJ'), ('one', 'CD'), ('it', 'PRP'), ('was', 'VBD'), ('all', 'DT'), ('like', 'IN'), ('grr', 'NNS')]	[('be', 'VB'), ('it', 'PRP'), ('bias', 'VB'), ('to', 'TO'), ('the', 'DT'), ('green', 'JJ'), ('be', 'VB'), ('that', 'IN'), ('it', 'PRP'), ('be', 'VB'), ('a', 'DT'), ('friendly', 'JJ'), ('one', 'CD'), ('it', 'PRP'), ('be', 'VB'), ('all', 'DT'), ('like', 'IN'), ('grr', 'NNS')]	Dyad4-time1-condTD.txt	time1-time1-condTD
13	MOT	okay whatever you want   good one  	['okay', 'whatever', 'you', 'want', 'good', 'one']	['okay', 'whatever', 'you', 'want', 'good', 'one']	[('okay', 'RB'), ('whatever', 'WDT'), ('you', 'PRP'), ('want', 'VBP'), ('good', 'JJ'), ('one', 'CD')]	[('okay', 'RB'), ('whatever', 'WDT'), ('you', 'PRP'), ('want', 'VBP'), ('good', 'JJ'), ('one', 'CD')]	Dyad2-time1-condTD.txt	time1-time1-condTD
16	CHI	okay this one's  this one looks nice   he looks    he just looks   	"['okay', 'this', 'one', ""'s"", 'this', 'one', 'looks', 'nice', 'he', 'looks', 'he', 'just', 'looks']"	"['okay', 'this', 'one', ""'s"", 'this', 'one', 'look', 'nice', 'he', 'look', 'he', 'just', 'look']"	"[('okay', 'NN'), ('this', 'DT'), ('one', 'NN'), (""'s"", 'POS'), ('this', 'DT'), ('one', 'CD'), ('looks', 'VBZ'), ('nice', 'JJ'), ('he', 'PRP'), ('looks', 'VBZ'), ('he', 'PRP'), ('just', 'RB'), ('looks', 'VBZ')]"	"[('okay', 'NN'), ('this', 'DT'), ('one', 'NN'), (""'s"", 'POS'), ('this', 'DT'), ('one', 'CD'), ('look', 'NN'), ('nice', 'CC'), ('he', 'PRP'), ('look', 'VBZ'), ('he', 'PRP'), ('just', 'RB'), ('look', 'VB')]"	Dyad4-time1-condTD.txt	time1-time1-condTD
15	MOT	yup so we try to steal from him not unless he has a gem  	['yup', 'so', 'we', 'try', 'to', 'steal', 'from', 'him', 'not', 'unless', 'he', 'has', 'a', 'gem']	['yup', 'so', 'we', 'try', 'to', 'steal', 'from', 'him', 'not', 'unless', 'he', 'have', 'a', 'gem']	[('yup', 'RB'), ('so', 'IN'), ('we', 'PRP'), ('try', 'VBP'), ('to', 'TO'), ('steal', 'VB'), ('from', 'IN'), ('him', 'PRP'), ('not', 'RB'), ('unless', 'IN'), ('he', 'PRP'), ('has', 'VBZ'), ('a', 'DT'), ('gem', 'NN')]	[('yup', 'RB'), ('so', 'IN'), ('we', 'PRP'), ('try', 'VBP'), ('to', 'TO'), ('steal', 'VB'), ('from', 'IN'), ('him', 'PRP'), ('not', 'RB'), ('unless', 'IN'), ('he', 'PRP'), ('have', 'VBP'), ('a', 'DT'), ('gem', 'NN')]	Dyad2-time1-condTD.txt	time1-time1-condTD
18	CHI	is turning into like a race thing  	['is', 'turning', 'into', 'like', 'a', 'race', 'thing']	['be', 'turn', 'into', 'like', 'a', 'race', 'thing']	[('is', 'VBZ'), ('turning', 'VBG'), ('into', 'IN'), ('like', 'IN'), ('a', 'DT'), ('race', 'NN'), ('thing', 'NN')]	[('be', 'VB'), ('turn', 'VBN'), ('into', 'IN'), ('like', 'IN'), ('a', 'DT'), ('race', 'NN'), ('thing', 'NN')]	Dyad4-time1-condTD.txt	time1-time1-condTD
17	MOT	 they have gems but they're not necessarily obvious  	['they', 'have', 'gems', 'but', 'they', 'are', 'not', 'necessarily', 'obvious']	['they', 'have', 'gem', 'but', 'they', 'be', 'not', 'necessarily', 'obvious']	[('they', 'PRP'), ('have', 'VBP'), ('gems', 'NNS'), ('but', 'CC'), ('they', 'PRP'), ('are', 'VBP'), ('not', 'RB'), ('necessarily', 'RB'), ('obvious', 'JJ')]	[('they', 'PRP'), ('have', 'VBP'), ('gem', 'VBN'), ('but', 'CC'), ('they', 'PRP'), ('be', 'VB'), ('not', 'RB'), ('necessarily', 'RB'), ('obvious', 'JJ')]	Dyad2-time1-condTD.txt	time1-time1-condTD
20	CHI	with aliens  	['with', 'aliens']	['with', 'alien']	[('with', 'IN'), ('aliens', 'NNS')]	[('with', 'IN'), ('alien', 'JJ')]	Dyad4-time1-condTD.txt	time1-time1-condTD
19	MOT	i don't know why you would think that but   can you stop going with your method now  	['i', 'do', 'not', 'know', 'why', 'you', 'would', 'think', 'that', 'but', 'can', 'you', 'stop', 'going', 'with', 'your', 'method', 'now']	['i', 'do', 'not', 'know', 'why', 'you', 'would', 'think', 'that', 'but', 'can', 'you', 'stop', 'go', 'with', 'your', 'method', 'now']	[('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('know', 'VB'), ('why', 'WRB'), ('you', 'PRP'), ('would', 'MD'), ('think', 'VB'), ('that', 'IN'), ('but', 'CC'), ('can', 'MD'), ('you', 'PRP'), ('stop', 'VB'), ('going', 'VBG'), ('with', 'IN'), ('your', 'PRP$'), ('method', 'NN'), ('now', 'RB')]	[('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('know', 'VB'), ('why', 'WRB'), ('you', 'PRP'), ('would', 'MD'), ('think', 'VB'), ('that', 'IN'), ('but', 'CC'), ('can', 'MD'), ('you', 'PRP'), ('stop', 'VB'), ('go', 'VB'), ('with', 'IN'), ('your', 'PRP$'), ('method', 'NN'), ('now', 'RB')]	Dyad2-time1-condTD.txt	time1-time1-condTD
22	CHI	let's ask him let's   let's ask   yeah nice   oo eighteen points   this is the same one  	['let', 'us', 'ask', 'him', 'let', 'us', 'let', 'us', 'ask', 'yeah', 'nice', 'oo', 'eighteen', 'points', 'this', 'is', 'the', 'same', 'one']	['let', 'u', 'ask', 'him', 'let', 'u', 'let', 'u', 'ask', 'yeah', 'nice', 'oo', 'eighteen', 'point', 'this', 'be', 'the', 'same', 'one']	[('let', 'VB'), ('us', 'PRP'), ('ask', 'VB'), ('him', 'PRP'), ('let', 'VB'), ('us', 'PRP'), ('let', 'VB'), ('us', 'PRP'), ('ask', 'VB'), ('yeah', 'PRP'), ('nice', 'JJ'), ('oo', 'RB'), ('eighteen', 'JJ'), ('points', 'NNS'), ('this', 'DT'), ('is', 'VBZ'), ('the', 'DT'), ('same', 'JJ'), ('one', 'NN')]	[('let', 'VB'), ('u', 'JJ'), ('ask', 'VB'), ('him', 'PRP'), ('let', 'VB'), ('u', 'JJ'), ('let', 'VB'), ('u', 'JJ'), ('ask', 'VB'), ('yeah', 'JJ'), ('nice', 'JJ'), ('oo', 'NN'), ('eighteen', 'JJ'), ('point', 'NN'), ('this', 'DT'), ('be', 'VB'), ('the', 'DT'), ('same', 'JJ'), ('one', 'NN')]	Dyad4-time1-condTD.txt	time1-time1-condTD
21	MOT	okay i think you try and get the gem from him   i don't    okay goahead go with that one  	['okay', 'i', 'think', 'you', 'try', 'and', 'get', 'the', 'gem', 'from', 'him', 'i', 'do', 'not', 'okay', 'goahead', 'go', 'with', 'that', 'one']	['okay', 'i', 'think', 'you', 'try', 'and', 'get', 'the', 'gem', 'from', 'him', 'i', 'do', 'not', 'okay', 'goahead', 'go', 'with', 'that', 'one']	[('okay', 'NN'), ('i', 'NN'), ('think', 'VBP'), ('you', 'PRP'), ('try', 'VBP'), ('and', 'CC'), ('get', 'VBP'), ('the', 'DT'), ('gem', 'NN'), ('from', 'IN'), ('him', 'PRP'), ('i', 'VB'), ('do', 'VBP'), ('not', 'RB'), ('okay', 'VB'), ('goahead', 'UH'), ('go', 'VB'), ('with', 'IN'), ('that', 'DT'), ('one', 'CD')]	[('okay', 'NN'), ('i', 'NN'), ('think', 'VBP'), ('you', 'PRP'), ('try', 'VBP'), ('and', 'CC'), ('get', 'VBP'), ('the', 'DT'), ('gem', 'NN'), ('from', 'IN'), ('him', 'PRP'), ('i', 'VB'), ('do', 'VBP'), ('not', 'RB'), ('okay', 'VB'), ('goahead', 'UH'), ('go', 'VB'), ('with', 'IN'), ('that', 'DT'), ('one', 'CD')]	Dyad2-time1-condTD.txt	time1-time1-condTD
24	CHI	 he did  	['he', 'did']	['he', 'do']	[('he', 'PRP'), ('did', 'VBD')]	[('he', 'PRP'), ('do', 'VB')]	Dyad4-time1-condTD.txt	time1-time1-condTD
23	MOT	sure goahead  	['sure', 'goahead']	['sure', 'goahead']	[('sure', 'JJ'), ('goahead', 'UH')]	[('sure', 'JJ'), ('goahead', 'UH')]	Dyad2-time1-condTD.txt	time1-time1-condTD
26	CHI	should we wave him  	['should', 'we', 'wave', 'him']	['should', 'we', 'wave', 'him']	[('should', 'MD'), ('we', 'PRP'), ('wave', 'VB'), ('him', 'PRP')]	[('should', 'MD'), ('we', 'PRP'), ('wave', 'VB'), ('him', 'PRP')]	Dyad4-time1-condTD.txt	time1-time1-condTD
25	MOT	yep fair enough  	['yep', 'fair', 'enough']	['yep', 'fair', 'enough']	[('yep', 'RB'), ('fair', 'JJ'), ('enough', 'RB')]	[('yep', 'RB'), ('fair', 'JJ'), ('enough', 'RB')]	Dyad2-time1-condTD.txt	time1-time1-condTD
28	CHI	we haven't tried it   hello run away  	['we', 'have', 'not', 'tried', 'it', 'hello', 'run', 'away']	['we', 'have', 'not', 'try', 'it', 'hello', 'run', 'away']	[('we', 'PRP'), ('have', 'VBP'), ('not', 'RB'), ('tried', 'VBN'), ('it', 'PRP'), ('hello', 'JJ'), ('run', 'VB'), ('away', 'RP')]	[('we', 'PRP'), ('have', 'VBP'), ('not', 'RB'), ('try', 'VB'), ('it', 'PRP'), ('hello', 'JJ'), ('run', 'VB'), ('away', 'RP')]	Dyad4-time1-condTD.txt	time1-time1-condTD
27	MOT	the last one had downward posture but  	['the', 'last', 'one', 'had', 'downward', 'posture', 'but']	['the', 'last', 'one', 'have', 'downward', 'posture', 'but']	[('the', 'DT'), ('last', 'JJ'), ('one', 'CD'), ('had', 'VBD'), ('downward', 'JJ'), ('posture', 'NN'), ('but', 'CC')]	[('the', 'DT'), ('last', 'JJ'), ('one', 'CD'), ('have', 'VBP'), ('downward', 'JJ'), ('posture', 'NN'), ('but', 'CC')]	Dyad2-time1-condTD.txt	time1-time1-condTD
30	CHI	okay so this guy is the same but with weak arms   should we steal  	['okay', 'so', 'this', 'guy', 'is', 'the', 'same', 'but', 'with', 'weak', 'arms', 'should', 'we', 'steal']	['okay', 'so', 'this', 'guy', 'be', 'the', 'same', 'but', 'with', 'weak', 'arm', 'should', 'we', 'steal']	[('okay', 'RB'), ('so', 'RB'), ('this', 'DT'), ('guy', 'NN'), ('is', 'VBZ'), ('the', 'DT'), ('same', 'JJ'), ('but', 'CC'), ('with', 'IN'), ('weak', 'JJ'), ('arms', 'NNS'), ('should', 'MD'), ('we', 'PRP'), ('steal', 'VB')]	[('okay', 'RB'), ('so', 'RB'), ('this', 'DT'), ('guy', 'NN'), ('be', 'VB'), ('the', 'DT'), ('same', 'JJ'), ('but', 'CC'), ('with', 'IN'), ('weak', 'JJ'), ('arm', 'NN'), ('should', 'MD'), ('we', 'PRP'), ('steal', 'VB')]	Dyad4-time1-condTD.txt	time1-time1-condTD
29	MOT	trying to steal it  	['trying', 'to', 'steal', 'it']	['try', 'to', 'steal', 'it']	[('trying', 'VBG'), ('to', 'TO'), ('steal', 'VB'), ('it', 'PRP')]	[('try', 'NN'), ('to', 'TO'), ('steal', 'VB'), ('it', 'PRP')]	Dyad2-time1-condTD.txt	time1-time1-condTD
32	CHI	yeah he can't run after us we could ask him  	['yeah', 'he', 'can', 'not', 'run', 'after', 'us', 'we', 'could', 'ask', 'him']	['yeah', 'he', 'can', 'not', 'run', 'after', 'u', 'we', 'could', 'ask', 'him']	[('yeah', 'NN'), ('he', 'PRP'), ('can', 'MD'), ('not', 'RB'), ('run', 'VB'), ('after', 'IN'), ('us', 'PRP'), ('we', 'PRP'), ('could', 'MD'), ('ask', 'VB'), ('him', 'PRP')]	[('yeah', 'NN'), ('he', 'PRP'), ('can', 'MD'), ('not', 'RB'), ('run', 'VB'), ('after', 'IN'), ('u', 'NN'), ('we', 'PRP'), ('could', 'MD'), ('ask', 'VB'), ('him', 'PRP')]	Dyad4-time1-condTD.txt	time1-time1-condTD
31	MOT	 okay let's  	['okay', 'let', 'us']	['okay', 'let', 'u']	[('okay', 'JJ'), ('let', 'VB'), ('us', 'PRP')]	[('okay', 'JJ'), ('let', 'NN'), ('u', 'NN')]	Dyad2-time1-condTD.txt	time1-time1-condTD
34	CHI	he looks friendly  	['he', 'looks', 'friendly']	['he', 'look', 'friendly']	[('he', 'PRP'), ('looks', 'VBZ'), ('friendly', 'JJ')]	[('he', 'PRP'), ('look', 'VBZ'), ('friendly', 'JJ')]	Dyad4-time1-condTD.txt	time1-time1-condTD
33	MOT	eyes wide open sure goahead   dude you're not good at this  	['eyes', 'wide', 'open', 'sure', 'goahead', 'dude', 'you', 'are', 'not', 'good', 'at', 'this']	['eye', 'wide', 'open', 'sure', 'goahead', 'dude', 'you', 'be', 'not', 'good', 'at', 'this']	[('eyes', 'NNS'), ('wide', 'JJ'), ('open', 'JJ'), ('sure', 'JJ'), ('goahead', 'UH'), ('dude', 'NN'), ('you', 'PRP'), ('are', 'VBP'), ('not', 'RB'), ('good', 'JJ'), ('at', 'IN'), ('this', 'DT')]	[('eye', 'NN'), ('wide', 'JJ'), ('open', 'JJ'), ('sure', 'JJ'), ('goahead', 'UH'), ('dude', 'NN'), ('you', 'PRP'), ('be', 'VB'), ('not', 'RB'), ('good', 'JJ'), ('at', 'IN'), ('this', 'DT')]	Dyad2-time1-condTD.txt	time1-time1-condTD
36	CHI	just waved  	['just', 'waved']	['just', 'wave']	[('just', 'RB'), ('waved', 'VBN')]	[('just', 'RB'), ('wave', 'VB')]	Dyad4-time1-condTD.txt	time1-time1-condTD
35	MOT	ask him  	['ask', 'him']	['ask', 'him']	[('ask', 'NN'), ('him', 'PRP')]	[('ask', 'NN'), ('him', 'PRP')]	Dyad2-time1-condTD.txt	time1-time1-condTD
38	CHI	there's no gem  	['there', 'is', 'no', 'gem']	['there', 'be', 'no', 'gem']	[('there', 'EX'), ('is', 'VBZ'), ('no', 'DT'), ('gem', 'NN')]	[('there', 'RB'), ('be', 'VB'), ('no', 'DT'), ('gem', 'NN')]	Dyad4-time1-condTD.txt	time1-time1-condTD
37	MOT	yep well everything else is done  	['yep', 'well', 'everything', 'else', 'is', 'done']	['yep', 'well', 'everything', 'else', 'be', 'do']	[('yep', 'RB'), ('well', 'RB'), ('everything', 'NN'), ('else', 'RB'), ('is', 'VBZ'), ('done', 'VBN')]	[('yep', 'RB'), ('well', 'RB'), ('everything', 'NN'), ('else', 'RB'), ('be', 'VB'), ('do', 'VBP')]	Dyad2-time1-condTD.txt	time1-time1-condTD
40	CHI	maybe does this mean that they have gems   are they  is it like huntergatherer  	['maybe', 'does', 'this', 'mean', 'that', 'they', 'have', 'gems', 'are', 'they', 'is', 'it', 'like', 'huntergatherer']	['maybe', 'do', 'this', 'mean', 'that', 'they', 'have', 'gem', 'be', 'they', 'be', 'it', 'like', 'huntergatherer']	[('maybe', 'RB'), ('does', 'VBZ'), ('this', 'DT'), ('mean', 'NN'), ('that', 'IN'), ('they', 'PRP'), ('have', 'VBP'), ('gems', 'NNS'), ('are', 'VBP'), ('they', 'PRP'), ('is', 'VBZ'), ('it', 'PRP'), ('like', 'IN'), ('huntergatherer', 'NN')]	[('maybe', 'RB'), ('do', 'VBP'), ('this', 'DT'), ('mean', 'NN'), ('that', 'IN'), ('they', 'PRP'), ('have', 'VBP'), ('gem', 'VBN'), ('be', 'VB'), ('they', 'PRP'), ('be', 'VB'), ('it', 'PRP'), ('like', 'IN'), ('huntergatherer', 'NN')]	Dyad4-time1-condTD.txt	time1-time1-condTD
39	MOT	okay what determines him    that's the thing like i haven't figured out what makes them friendly  	['okay', 'what', 'determines', 'him', 'that', 'is', 'the', 'thing', 'like', 'i', 'have', 'not', 'figured', 'out', 'what', 'makes', 'them', 'friendly']	['okay', 'what', 'determine', 'him', 'that', 'be', 'the', 'thing', 'like', 'i', 'have', 'not', 'figure', 'out', 'what', 'make', 'them', 'friendly']	[('okay', 'VB'), ('what', 'WP'), ('determines', 'VBZ'), ('him', 'PRP'), ('that', 'WDT'), ('is', 'VBZ'), ('the', 'DT'), ('thing', 'NN'), ('like', 'IN'), ('i', 'NNS'), ('have', 'VBP'), ('not', 'RB'), ('figured', 'VBN'), ('out', 'RP'), ('what', 'WP'), ('makes', 'VBZ'), ('them', 'PRP'), ('friendly', 'JJ')]	[('okay', 'VB'), ('what', 'WP'), ('determine', 'VB'), ('him', 'PRP'), ('that', 'WDT'), ('be', 'VB'), ('the', 'DT'), ('thing', 'NN'), ('like', 'IN'), ('i', 'NNS'), ('have', 'VBP'), ('not', 'RB'), ('figure', 'VBN'), ('out', 'RP'), ('what', 'WP'), ('make', 'VB'), ('them', 'PRP'), ('friendly', 'RB')]	Dyad2-time1-condTD.txt	time1-time1-condTD
42	CHI	okay  okay so this guy's big and   green steal  	"['okay', 'okay', 'so', 'this', 'guy', ""'s"", 'big', 'and', 'green', 'steal']"	"['okay', 'okay', 'so', 'this', 'guy', ""'s"", 'big', 'and', 'green', 'steal']"	"[('okay', 'JJ'), ('okay', 'NN'), ('so', 'RB'), ('this', 'DT'), ('guy', 'NN'), (""'s"", 'POS'), ('big', 'JJ'), ('and', 'CC'), ('green', 'JJ'), ('steal', 'NN')]"	"[('okay', 'JJ'), ('okay', 'NN'), ('so', 'RB'), ('this', 'DT'), ('guy', 'NN'), (""'s"", 'POS'), ('big', 'JJ'), ('and', 'CC'), ('green', 'JJ'), ('steal', 'NN')]"	Dyad4-time1-condTD.txt	time1-time1-condTD
41	MOT	ask him  ask him nicely  	['ask', 'him', 'ask', 'him', 'nicely']	['ask', 'him', 'ask', 'him', 'nicely']	[('ask', 'VB'), ('him', 'PRP'), ('ask', 'VB'), ('him', 'PRP'), ('nicely', 'RB')]	[('ask', 'VB'), ('him', 'PRP'), ('ask', 'VB'), ('him', 'PRP'), ('nicely', 'RB')]	Dyad2-time1-condTD.txt	time1-time1-condTD
44	CHI	we stole from the green guy   gonna steal he's friendly   we just stole from this guy  	['we', 'stole', 'from', 'the', 'green', 'guy', 'gon', 'na', 'steal', 'he', 'is', 'friendly', 'we', 'just', 'stole', 'from', 'this', 'guy']	['we', 'steal', 'from', 'the', 'green', 'guy', 'gon', 'na', 'steal', 'he', 'be', 'friendly', 'we', 'just', 'steal', 'from', 'this', 'guy']	[('we', 'PRP'), ('stole', 'VBP'), ('from', 'IN'), ('the', 'DT'), ('green', 'JJ'), ('guy', 'NN'), ('gon', 'NN'), ('na', 'TO'), ('steal', 'VB'), ('he', 'PRP'), ('is', 'VBZ'), ('friendly', 'JJ'), ('we', 'PRP'), ('just', 'RB'), ('stole', 'VBP'), ('from', 'IN'), ('this', 'DT'), ('guy', 'NN')]	[('we', 'PRP'), ('steal', 'VBP'), ('from', 'IN'), ('the', 'DT'), ('green', 'JJ'), ('guy', 'NN'), ('gon', 'NN'), ('na', 'TO'), ('steal', 'VB'), ('he', 'PRP'), ('be', 'VB'), ('friendly', 'JJ'), ('we', 'PRP'), ('just', 'RB'), ('steal', 'VB'), ('from', 'IN'), ('this', 'DT'), ('guy', 'NN')]	Dyad4-time1-condTD.txt	time1-time1-condTD
45	MOT	quarter of the way in   well okay this also has spots so is spots an indicator  	['quarter', 'of', 'the', 'way', 'in', 'well', 'okay', 'this', 'also', 'has', 'spots', 'so', 'is', 'spots', 'an', 'indicator']	['quarter', 'of', 'the', 'way', 'in', 'well', 'okay', 'this', 'also', 'have', 'spot', 'so', 'be', 'spots', 'an', 'indicator']	[('quarter', 'NN'), ('of', 'IN'), ('the', 'DT'), ('way', 'NN'), ('in', 'IN'), ('well', 'RB'), ('okay', 'IN'), ('this', 'DT'), ('also', 'RB'), ('has', 'VBZ'), ('spots', 'NNS'), ('so', 'RB'), ('is', 'VBZ'), ('spots', 'JJ'), ('an', 'DT'), ('indicator', 'NN')]	[('quarter', 'NN'), ('of', 'IN'), ('the', 'DT'), ('way', 'NN'), ('in', 'IN'), ('well', 'RB'), ('okay', 'IN'), ('this', 'DT'), ('also', 'RB'), ('have', 'VBP'), ('spot', 'VBN'), ('so', 'RB'), ('be', 'VB'), ('spots', 'NNS'), ('an', 'DT'), ('indicator', 'NN')]	Dyad2-time1-condTD.txt	time1-time1-condTD
46	CHI	yeah we   can we get negative points  	['yeah', 'we', 'can', 'we', 'get', 'negative', 'points']	['yeah', 'we', 'can', 'we', 'get', 'negative', 'point']	[('yeah', 'IN'), ('we', 'PRP'), ('can', 'MD'), ('we', 'PRP'), ('get', 'VB'), ('negative', 'JJ'), ('points', 'NNS')]	[('yeah', 'IN'), ('we', 'PRP'), ('can', 'MD'), ('we', 'PRP'), ('get', 'VB'), ('negative', 'JJ'), ('point', 'NN')]	Dyad4-time1-condTD.txt	time1-time1-condTD
