original_index	participant	content	token	lemma	tagged_token	tagged_lemma	original_file	file
11	CHI	that one looks bad  	['that', 'one', 'looks', 'bad']	['that', 'one', 'look', 'bad']	[('that', 'DT'), ('one', 'CD'), ('looks', 'VBZ'), ('bad', 'JJ')]	[('that', 'DT'), ('one', 'CD'), ('look', 'NN'), ('bad', 'JJ')]	Dyad1-time1-condTD.txt	time1-time1-condTD
13	MOT	okay whatever you want   good one  	['okay', 'whatever', 'you', 'want', 'good', 'one']	['okay', 'whatever', 'you', 'want', 'good', 'one']	[('okay', 'RB'), ('whatever', 'WDT'), ('you', 'PRP'), ('want', 'VBP'), ('good', 'JJ'), ('one', 'CD')]	[('okay', 'RB'), ('whatever', 'WDT'), ('you', 'PRP'), ('want', 'VBP'), ('good', 'JJ'), ('one', 'CD')]	Dyad2-time1-condTD.txt	time1-time1-condTD
13	CHI	steal his gem  	['steal', 'his', 'gem']	['steal', 'his', 'gem']	[('steal', 'VB'), ('his', 'PRP$'), ('gem', 'NN')]	[('steal', 'VB'), ('his', 'PRP$'), ('gem', 'NN')]	Dyad1-time1-condTD.txt	time1-time1-condTD
15	MOT	yup so we try to steal from him not unless he has a gem  	['yup', 'so', 'we', 'try', 'to', 'steal', 'from', 'him', 'not', 'unless', 'he', 'has', 'a', 'gem']	['yup', 'so', 'we', 'try', 'to', 'steal', 'from', 'him', 'not', 'unless', 'he', 'have', 'a', 'gem']	[('yup', 'RB'), ('so', 'IN'), ('we', 'PRP'), ('try', 'VBP'), ('to', 'TO'), ('steal', 'VB'), ('from', 'IN'), ('him', 'PRP'), ('not', 'RB'), ('unless', 'IN'), ('he', 'PRP'), ('has', 'VBZ'), ('a', 'DT'), ('gem', 'NN')]	[('yup', 'RB'), ('so', 'IN'), ('we', 'PRP'), ('try', 'VBP'), ('to', 'TO'), ('steal', 'VB'), ('from', 'IN'), ('him', 'PRP'), ('not', 'RB'), ('unless', 'IN'), ('he', 'PRP'), ('have', 'VBP'), ('a', 'DT'), ('gem', 'NN')]	Dyad2-time1-condTD.txt	time1-time1-condTD
15	CHI	okay ready   i think if they're going     that one's an angry alien  	"['okay', 'ready', 'i', 'think', 'if', 'they', 'are', 'going', 'that', 'one', ""'s"", 'an', 'angry', 'alien']"	"['okay', 'ready', 'i', 'think', 'if', 'they', 'be', 'go', 'that', 'one', ""'s"", 'an', 'angry', 'alien']"	"[('okay', 'IN'), ('ready', 'JJ'), ('i', 'NN'), ('think', 'VBP'), ('if', 'IN'), ('they', 'PRP'), ('are', 'VBP'), ('going', 'VBG'), ('that', 'IN'), ('one', 'CD'), (""'s"", 'VBZ'), ('an', 'DT'), ('angry', 'JJ'), ('alien', 'NN')]"	"[('okay', 'IN'), ('ready', 'JJ'), ('i', 'NN'), ('think', 'VBP'), ('if', 'IN'), ('they', 'PRP'), ('be', 'VB'), ('go', 'VBP'), ('that', 'IN'), ('one', 'CD'), (""'s"", 'VBZ'), ('an', 'DT'), ('angry', 'JJ'), ('alien', 'NN')]"	Dyad1-time1-condTD.txt	time1-time1-condTD
17	MOT	 they have gems but they're not necessarily obvious  	['they', 'have', 'gems', 'but', 'they', 'are', 'not', 'necessarily', 'obvious']	['they', 'have', 'gem', 'but', 'they', 'be', 'not', 'necessarily', 'obvious']	[('they', 'PRP'), ('have', 'VBP'), ('gems', 'NNS'), ('but', 'CC'), ('they', 'PRP'), ('are', 'VBP'), ('not', 'RB'), ('necessarily', 'RB'), ('obvious', 'JJ')]	[('they', 'PRP'), ('have', 'VBP'), ('gem', 'VBN'), ('but', 'CC'), ('they', 'PRP'), ('be', 'VB'), ('not', 'RB'), ('necessarily', 'RB'), ('obvious', 'JJ')]	Dyad2-time1-condTD.txt	time1-time1-condTD
17	CHI	what should we do  	['what', 'should', 'we', 'do']	['what', 'should', 'we', 'do']	[('what', 'WP'), ('should', 'MD'), ('we', 'PRP'), ('do', 'VB')]	[('what', 'WP'), ('should', 'MD'), ('we', 'PRP'), ('do', 'VB')]	Dyad1-time1-condTD.txt	time1-time1-condTD
19	MOT	i don't know why you would think that but   can you stop going with your method now  	['i', 'do', 'not', 'know', 'why', 'you', 'would', 'think', 'that', 'but', 'can', 'you', 'stop', 'going', 'with', 'your', 'method', 'now']	['i', 'do', 'not', 'know', 'why', 'you', 'would', 'think', 'that', 'but', 'can', 'you', 'stop', 'go', 'with', 'your', 'method', 'now']	[('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('know', 'VB'), ('why', 'WRB'), ('you', 'PRP'), ('would', 'MD'), ('think', 'VB'), ('that', 'IN'), ('but', 'CC'), ('can', 'MD'), ('you', 'PRP'), ('stop', 'VB'), ('going', 'VBG'), ('with', 'IN'), ('your', 'PRP$'), ('method', 'NN'), ('now', 'RB')]	[('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('know', 'VB'), ('why', 'WRB'), ('you', 'PRP'), ('would', 'MD'), ('think', 'VB'), ('that', 'IN'), ('but', 'CC'), ('can', 'MD'), ('you', 'PRP'), ('stop', 'VB'), ('go', 'VB'), ('with', 'IN'), ('your', 'PRP$'), ('method', 'NN'), ('now', 'RB')]	Dyad2-time1-condTD.txt	time1-time1-condTD
19	CHI	does it look scary   you wanna steal a gem from it   steal a gem  	['does', 'it', 'look', 'scary', 'you', 'wan', 'na', 'steal', 'a', 'gem', 'from', 'it', 'steal', 'a', 'gem']	['do', 'it', 'look', 'scary', 'you', 'wan', 'na', 'steal', 'a', 'gem', 'from', 'it', 'steal', 'a', 'gem']	[('does', 'VBZ'), ('it', 'PRP'), ('look', 'VB'), ('scary', 'JJ'), ('you', 'PRP'), ('wan', 'VBP'), ('na', 'TO'), ('steal', 'VB'), ('a', 'DT'), ('gem', 'NN'), ('from', 'IN'), ('it', 'PRP'), ('steal', 'VBZ'), ('a', 'DT'), ('gem', 'NN')]	[('do', 'VB'), ('it', 'PRP'), ('look', 'VB'), ('scary', 'JJ'), ('you', 'PRP'), ('wan', 'VBP'), ('na', 'TO'), ('steal', 'VB'), ('a', 'DT'), ('gem', 'NN'), ('from', 'IN'), ('it', 'PRP'), ('steal', 'VBZ'), ('a', 'DT'), ('gem', 'NN')]	Dyad1-time1-condTD.txt	time1-time1-condTD
21	MOT	okay i think you try and get the gem from him   i don't    okay goahead go with that one  	['okay', 'i', 'think', 'you', 'try', 'and', 'get', 'the', 'gem', 'from', 'him', 'i', 'do', 'not', 'okay', 'goahead', 'go', 'with', 'that', 'one']	['okay', 'i', 'think', 'you', 'try', 'and', 'get', 'the', 'gem', 'from', 'him', 'i', 'do', 'not', 'okay', 'goahead', 'go', 'with', 'that', 'one']	[('okay', 'NN'), ('i', 'NN'), ('think', 'VBP'), ('you', 'PRP'), ('try', 'VBP'), ('and', 'CC'), ('get', 'VBP'), ('the', 'DT'), ('gem', 'NN'), ('from', 'IN'), ('him', 'PRP'), ('i', 'VB'), ('do', 'VBP'), ('not', 'RB'), ('okay', 'VB'), ('goahead', 'UH'), ('go', 'VB'), ('with', 'IN'), ('that', 'DT'), ('one', 'CD')]	[('okay', 'NN'), ('i', 'NN'), ('think', 'VBP'), ('you', 'PRP'), ('try', 'VBP'), ('and', 'CC'), ('get', 'VBP'), ('the', 'DT'), ('gem', 'NN'), ('from', 'IN'), ('him', 'PRP'), ('i', 'VB'), ('do', 'VBP'), ('not', 'RB'), ('okay', 'VB'), ('goahead', 'UH'), ('go', 'VB'), ('with', 'IN'), ('that', 'DT'), ('one', 'CD')]	Dyad2-time1-condTD.txt	time1-time1-condTD
21	CHI	okay ready  	['okay', 'ready']	['okay', 'ready']	[('okay', 'NNS'), ('ready', 'JJ')]	[('okay', 'NNS'), ('ready', 'JJ')]	Dyad1-time1-condTD.txt	time1-time1-condTD
23	MOT	sure goahead  	['sure', 'goahead']	['sure', 'goahead']	[('sure', 'JJ'), ('goahead', 'UH')]	[('sure', 'JJ'), ('goahead', 'UH')]	Dyad2-time1-condTD.txt	time1-time1-condTD
23	CHI	what do you wanna do  	['what', 'do', 'you', 'wan', 'na', 'do']	['what', 'do', 'you', 'wan', 'na', 'do']	[('what', 'WP'), ('do', 'VBP'), ('you', 'PRP'), ('wan', 'VB'), ('na', 'NNS'), ('do', 'VB')]	[('what', 'WP'), ('do', 'VBP'), ('you', 'PRP'), ('wan', 'VB'), ('na', 'NNS'), ('do', 'VB')]	Dyad1-time1-condTD.txt	time1-time1-condTD
25	MOT	yep fair enough  	['yep', 'fair', 'enough']	['yep', 'fair', 'enough']	[('yep', 'RB'), ('fair', 'JJ'), ('enough', 'RB')]	[('yep', 'RB'), ('fair', 'JJ'), ('enough', 'RB')]	Dyad2-time1-condTD.txt	time1-time1-condTD
25	CHI	it's probably with  	['it', 'is', 'probably', 'with']	['it', 'be', 'probably', 'with']	[('it', 'PRP'), ('is', 'VBZ'), ('probably', 'RB'), ('with', 'IN')]	[('it', 'PRP'), ('be', 'VB'), ('probably', 'RB'), ('with', 'IN')]	Dyad1-time1-condTD.txt	time1-time1-condTD
27	MOT	the last one had downward posture but  	['the', 'last', 'one', 'had', 'downward', 'posture', 'but']	['the', 'last', 'one', 'have', 'downward', 'posture', 'but']	[('the', 'DT'), ('last', 'JJ'), ('one', 'CD'), ('had', 'VBD'), ('downward', 'JJ'), ('posture', 'NN'), ('but', 'CC')]	[('the', 'DT'), ('last', 'JJ'), ('one', 'CD'), ('have', 'VBP'), ('downward', 'JJ'), ('posture', 'NN'), ('but', 'CC')]	Dyad2-time1-condTD.txt	time1-time1-condTD
27	CHI	okay can youguys   you're supposed to be downstairs  	['okay', 'can', 'youguys', 'you', 'are', 'supposed', 'to', 'be', 'downstairs']	['okay', 'can', 'youguys', 'you', 'be', 'suppose', 'to', 'be', 'downstairs']	[('okay', 'NN'), ('can', 'MD'), ('youguys', 'PRP'), ('you', 'PRP'), ('are', 'VBP'), ('supposed', 'VBN'), ('to', 'TO'), ('be', 'VB'), ('downstairs', 'NNS')]	[('okay', 'NN'), ('can', 'MD'), ('youguys', 'PRP'), ('you', 'PRP'), ('be', 'VB'), ('suppose', 'VBN'), ('to', 'TO'), ('be', 'VB'), ('downstairs', 'NNS')]	Dyad1-time1-condTD.txt	time1-time1-condTD
29	MOT	trying to steal it  	['trying', 'to', 'steal', 'it']	['try', 'to', 'steal', 'it']	[('trying', 'VBG'), ('to', 'TO'), ('steal', 'VB'), ('it', 'PRP')]	[('try', 'NN'), ('to', 'TO'), ('steal', 'VB'), ('it', 'PRP')]	Dyad2-time1-condTD.txt	time1-time1-condTD
29	CHI	friendly one  	['friendly', 'one']	['friendly', 'one']	[('friendly', 'RB'), ('one', 'CD')]	[('friendly', 'RB'), ('one', 'CD')]	Dyad1-time1-condTD.txt	time1-time1-condTD
31	MOT	 okay let's  	['okay', 'let', 'us']	['okay', 'let', 'u']	[('okay', 'JJ'), ('let', 'VB'), ('us', 'PRP')]	[('okay', 'JJ'), ('let', 'NN'), ('u', 'NN')]	Dyad2-time1-condTD.txt	time1-time1-condTD
31	CHI	 we should probably run away from this one  	['we', 'should', 'probably', 'run', 'away', 'from', 'this', 'one']	['we', 'should', 'probably', 'run', 'away', 'from', 'this', 'one']	[('we', 'PRP'), ('should', 'MD'), ('probably', 'RB'), ('run', 'VB'), ('away', 'RB'), ('from', 'IN'), ('this', 'DT'), ('one', 'CD')]	[('we', 'PRP'), ('should', 'MD'), ('probably', 'RB'), ('run', 'VB'), ('away', 'RB'), ('from', 'IN'), ('this', 'DT'), ('one', 'CD')]	Dyad1-time1-condTD.txt	time1-time1-condTD
33	MOT	eyes wide open sure goahead   dude you're not good at this  	['eyes', 'wide', 'open', 'sure', 'goahead', 'dude', 'you', 'are', 'not', 'good', 'at', 'this']	['eye', 'wide', 'open', 'sure', 'goahead', 'dude', 'you', 'be', 'not', 'good', 'at', 'this']	[('eyes', 'NNS'), ('wide', 'JJ'), ('open', 'JJ'), ('sure', 'JJ'), ('goahead', 'UH'), ('dude', 'NN'), ('you', 'PRP'), ('are', 'VBP'), ('not', 'RB'), ('good', 'JJ'), ('at', 'IN'), ('this', 'DT')]	[('eye', 'NN'), ('wide', 'JJ'), ('open', 'JJ'), ('sure', 'JJ'), ('goahead', 'UH'), ('dude', 'NN'), ('you', 'PRP'), ('be', 'VB'), ('not', 'RB'), ('good', 'JJ'), ('at', 'IN'), ('this', 'DT')]	Dyad2-time1-condTD.txt	time1-time1-condTD
33	CHI	 maybe it's the ones with spots    that one looks like  	['maybe', 'it', 'is', 'the', 'ones', 'with', 'spots', 'that', 'one', 'looks', 'like']	['maybe', 'it', 'be', 'the', 'one', 'with', 'spot', 'that', 'one', 'look', 'like']	[('maybe', 'RB'), ('it', 'PRP'), ('is', 'VBZ'), ('the', 'DT'), ('ones', 'NNS'), ('with', 'IN'), ('spots', 'NNS'), ('that', 'WDT'), ('one', 'CD'), ('looks', 'VBZ'), ('like', 'IN')]	[('maybe', 'RB'), ('it', 'PRP'), ('be', 'VB'), ('the', 'DT'), ('one', 'NN'), ('with', 'IN'), ('spot', 'NN'), ('that', 'WDT'), ('one', 'CD'), ('look', 'NN'), ('like', 'IN')]	Dyad1-time1-condTD.txt	time1-time1-condTD
35	MOT	ask him  	['ask', 'him']	['ask', 'him']	[('ask', 'NN'), ('him', 'PRP')]	[('ask', 'NN'), ('him', 'PRP')]	Dyad2-time1-condTD.txt	time1-time1-condTD
35	CHI	gem steal a gem  	['gem', 'steal', 'a', 'gem']	['gem', 'steal', 'a', 'gem']	[('gem', 'NN'), ('steal', 'VB'), ('a', 'DT'), ('gem', 'NN')]	[('gem', 'NN'), ('steal', 'VB'), ('a', 'DT'), ('gem', 'NN')]	Dyad1-time1-condTD.txt	time1-time1-condTD
37	MOT	yep well everything else is done  	['yep', 'well', 'everything', 'else', 'is', 'done']	['yep', 'well', 'everything', 'else', 'be', 'do']	[('yep', 'RB'), ('well', 'RB'), ('everything', 'NN'), ('else', 'RB'), ('is', 'VBZ'), ('done', 'VBN')]	[('yep', 'RB'), ('well', 'RB'), ('everything', 'NN'), ('else', 'RB'), ('be', 'VB'), ('do', 'VBP')]	Dyad2-time1-condTD.txt	time1-time1-condTD
37	CHI	yay thirty eight points  	['yay', 'thirty', 'eight', 'points']	['yay', 'thirty', 'eight', 'point']	[('yay', 'NN'), ('thirty', 'NN'), ('eight', 'CD'), ('points', 'NNS')]	[('yay', 'NN'), ('thirty', 'NN'), ('eight', 'CD'), ('point', 'NN')]	Dyad1-time1-condTD.txt	time1-time1-condTD
39	MOT	okay what determines him    that's the thing like i haven't figured out what makes them friendly  	['okay', 'what', 'determines', 'him', 'that', 'is', 'the', 'thing', 'like', 'i', 'have', 'not', 'figured', 'out', 'what', 'makes', 'them', 'friendly']	['okay', 'what', 'determine', 'him', 'that', 'be', 'the', 'thing', 'like', 'i', 'have', 'not', 'figure', 'out', 'what', 'make', 'them', 'friendly']	[('okay', 'VB'), ('what', 'WP'), ('determines', 'VBZ'), ('him', 'PRP'), ('that', 'WDT'), ('is', 'VBZ'), ('the', 'DT'), ('thing', 'NN'), ('like', 'IN'), ('i', 'NNS'), ('have', 'VBP'), ('not', 'RB'), ('figured', 'VBN'), ('out', 'RP'), ('what', 'WP'), ('makes', 'VBZ'), ('them', 'PRP'), ('friendly', 'JJ')]	[('okay', 'VB'), ('what', 'WP'), ('determine', 'VB'), ('him', 'PRP'), ('that', 'WDT'), ('be', 'VB'), ('the', 'DT'), ('thing', 'NN'), ('like', 'IN'), ('i', 'NNS'), ('have', 'VBP'), ('not', 'RB'), ('figure', 'VBN'), ('out', 'RP'), ('what', 'WP'), ('make', 'VB'), ('them', 'PRP'), ('friendly', 'RB')]	Dyad2-time1-condTD.txt	time1-time1-condTD
39	CHI	okay we'll wave at it  	['okay', 'we', 'will', 'wave', 'at', 'it']	['okay', 'we', 'will', 'wave', 'at', 'it']	[('okay', 'NN'), ('we', 'PRP'), ('will', 'MD'), ('wave', 'VB'), ('at', 'IN'), ('it', 'PRP')]	[('okay', 'NN'), ('we', 'PRP'), ('will', 'MD'), ('wave', 'VB'), ('at', 'IN'), ('it', 'PRP')]	Dyad1-time1-condTD.txt	time1-time1-condTD
41	MOT	ask him  ask him nicely  	['ask', 'him', 'ask', 'him', 'nicely']	['ask', 'him', 'ask', 'him', 'nicely']	[('ask', 'VB'), ('him', 'PRP'), ('ask', 'VB'), ('him', 'PRP'), ('nicely', 'RB')]	[('ask', 'VB'), ('him', 'PRP'), ('ask', 'VB'), ('him', 'PRP'), ('nicely', 'RB')]	Dyad2-time1-condTD.txt	time1-time1-condTD
41	CHI	whoops ohwell  	['whoops', 'ohwell']	['whoop', 'ohwell']	[('whoops', 'NNS'), ('ohwell', 'UH')]	[('whoop', 'NN'), ('ohwell', 'UH')]	Dyad1-time1-condTD.txt	time1-time1-condTD
45	MOT	quarter of the way in   well okay this also has spots so is spots an indicator  	['quarter', 'of', 'the', 'way', 'in', 'well', 'okay', 'this', 'also', 'has', 'spots', 'so', 'is', 'spots', 'an', 'indicator']	['quarter', 'of', 'the', 'way', 'in', 'well', 'okay', 'this', 'also', 'have', 'spot', 'so', 'be', 'spots', 'an', 'indicator']	[('quarter', 'NN'), ('of', 'IN'), ('the', 'DT'), ('way', 'NN'), ('in', 'IN'), ('well', 'RB'), ('okay', 'IN'), ('this', 'DT'), ('also', 'RB'), ('has', 'VBZ'), ('spots', 'NNS'), ('so', 'RB'), ('is', 'VBZ'), ('spots', 'JJ'), ('an', 'DT'), ('indicator', 'NN')]	[('quarter', 'NN'), ('of', 'IN'), ('the', 'DT'), ('way', 'NN'), ('in', 'IN'), ('well', 'RB'), ('okay', 'IN'), ('this', 'DT'), ('also', 'RB'), ('have', 'VBP'), ('spot', 'VBN'), ('so', 'RB'), ('be', 'VB'), ('spots', 'NNS'), ('an', 'DT'), ('indicator', 'NN')]	Dyad2-time1-condTD.txt	time1-time1-condTD
43	CHI	or ask for a gem   we'll ask for a gem  	['or', 'ask', 'for', 'a', 'gem', 'we', 'will', 'ask', 'for', 'a', 'gem']	['or', 'ask', 'for', 'a', 'gem', 'we', 'will', 'ask', 'for', 'a', 'gem']	[('or', 'CC'), ('ask', 'VB'), ('for', 'IN'), ('a', 'DT'), ('gem', 'NN'), ('we', 'PRP'), ('will', 'MD'), ('ask', 'VB'), ('for', 'IN'), ('a', 'DT'), ('gem', 'NN')]	[('or', 'CC'), ('ask', 'VB'), ('for', 'IN'), ('a', 'DT'), ('gem', 'NN'), ('we', 'PRP'), ('will', 'MD'), ('ask', 'VB'), ('for', 'IN'), ('a', 'DT'), ('gem', 'NN')]	Dyad1-time1-condTD.txt	time1-time1-condTD
47	MOT	i don't know  	['i', 'do', 'not', 'know']	['i', 'do', 'not', 'know']	[('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('know', 'VB')]	[('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('know', 'VB')]	Dyad2-time1-condTD.txt	time1-time1-condTD
45	CHI	yeah aw  	['yeah', 'aw']	['yeah', 'aw']	[('yeah', 'NN'), ('aw', 'NN')]	[('yeah', 'NN'), ('aw', 'NN')]	Dyad1-time1-condTD.txt	time1-time1-condTD
49	MOT	sure why not  	['sure', 'why', 'not']	['sure', 'why', 'not']	[('sure', 'JJ'), ('why', 'WRB'), ('not', 'RB')]	[('sure', 'JJ'), ('why', 'WRB'), ('not', 'RB')]	Dyad2-time1-condTD.txt	time1-time1-condTD
47	CHI	this one's a friendly alien  	"['this', 'one', ""'s"", 'a', 'friendly', 'alien']"	"['this', 'one', ""'s"", 'a', 'friendly', 'alien']"	"[('this', 'DT'), ('one', 'NN'), (""'s"", 'POS'), ('a', 'DT'), ('friendly', 'JJ'), ('alien', 'NN')]"	"[('this', 'DT'), ('one', 'NN'), (""'s"", 'POS'), ('a', 'DT'), ('friendly', 'JJ'), ('alien', 'NN')]"	Dyad1-time1-condTD.txt	time1-time1-condTD
51	MOT	if spots are an indicator  	['if', 'spots', 'are', 'an', 'indicator']	['if', 'spot', 'be', 'an', 'indicator']	[('if', 'IN'), ('spots', 'NNS'), ('are', 'VBP'), ('an', 'DT'), ('indicator', 'NN')]	[('if', 'IN'), ('spot', 'NN'), ('be', 'VB'), ('an', 'DT'), ('indicator', 'NN')]	Dyad2-time1-condTD.txt	time1-time1-condTD
49	CHI	 which one  	['which', 'one']	['which', 'one']	[('which', 'WDT'), ('one', 'NN')]	[('which', 'WDT'), ('one', 'NN')]	Dyad1-time1-condTD.txt	time1-time1-condTD
53	MOT	or you  	['or', 'you']	['or', 'you']	[('or', 'CC'), ('you', 'PRP')]	[('or', 'CC'), ('you', 'PRP')]	Dyad2-time1-condTD.txt	time1-time1-condTD
51	CHI	yay forty four points   okay ready  	['yay', 'forty', 'four', 'points', 'okay', 'ready']	['yay', 'forty', 'four', 'point', 'okay', 'ready']	[('yay', 'RB'), ('forty', 'RB'), ('four', 'CD'), ('points', 'NNS'), ('okay', 'VBP'), ('ready', 'JJ')]	[('yay', 'RB'), ('forty', 'JJ'), ('four', 'CD'), ('point', 'NN'), ('okay', 'NNS'), ('ready', 'JJ')]	Dyad1-time1-condTD.txt	time1-time1-condTD
55	MOT	no spots  	['no', 'spots']	['no', 'spot']	[('no', 'DT'), ('spots', 'NNS')]	[('no', 'DT'), ('spot', 'NN')]	Dyad2-time1-condTD.txt	time1-time1-condTD
53	CHI	yeah so should we wave or ask for a gem  	['yeah', 'so', 'should', 'we', 'wave', 'or', 'ask', 'for', 'a', 'gem']	['yeah', 'so', 'should', 'we', 'wave', 'or', 'ask', 'for', 'a', 'gem']	[('yeah', 'NNS'), ('so', 'RB'), ('should', 'MD'), ('we', 'PRP'), ('wave', 'VB'), ('or', 'CC'), ('ask', 'VB'), ('for', 'IN'), ('a', 'DT'), ('gem', 'NN')]	[('yeah', 'NNS'), ('so', 'RB'), ('should', 'MD'), ('we', 'PRP'), ('wave', 'VB'), ('or', 'CC'), ('ask', 'VB'), ('for', 'IN'), ('a', 'DT'), ('gem', 'NN')]	Dyad1-time1-condTD.txt	time1-time1-condTD
57	MOT	nope okay so why's it have   	['nope', 'okay', 'so', 'why', 'is', 'it', 'have']	['nope', 'okay', 'so', 'why', 'be', 'it', 'have']	[('nope', 'NN'), ('okay', 'NNS'), ('so', 'RB'), ('why', 'WRB'), ('is', 'VBZ'), ('it', 'PRP'), ('have', 'VB')]	[('nope', 'NN'), ('okay', 'NNS'), ('so', 'RB'), ('why', 'WRB'), ('be', 'VB'), ('it', 'PRP'), ('have', 'VB')]	Dyad2-time1-condTD.txt	time1-time1-condTD
55	CHI	no once it was ask for a gem  	['no', 'once', 'it', 'was', 'ask', 'for', 'a', 'gem']	['no', 'once', 'it', 'be', 'ask', 'for', 'a', 'gem']	[('no', 'DT'), ('once', 'IN'), ('it', 'PRP'), ('was', 'VBD'), ('ask', 'VBN'), ('for', 'IN'), ('a', 'DT'), ('gem', 'NN')]	[('no', 'DT'), ('once', 'NN'), ('it', 'PRP'), ('be', 'VB'), ('ask', 'VBN'), ('for', 'IN'), ('a', 'DT'), ('gem', 'NN')]	Dyad1-time1-condTD.txt	time1-time1-condTD
