participant	content	token	lemma	tagged_token	tagged_lemma	file
CHI	so maybe that and he was strong so maybe that's okay   he's blue and he has warts so  	['so', 'maybe', 'that', 'and', 'he', 'was', 'strong', 'so', 'maybe', 'that', 'is', 'okay', 'he', 'is', 'blue', 'and', 'he', 'has', 'warts', 'so']	['so', 'maybe', 'that', 'and', 'he', 'be', 'strong', 'so', 'maybe', 'that', 'be', 'okay', 'he', 'be', 'blue', 'and', 'he', 'have', 'wart', 'so']	[('so', 'RB'), ('maybe', 'RB'), ('that', 'IN'), ('and', 'CC'), ('he', 'PRP'), ('was', 'VBD'), ('strong', 'JJ'), ('so', 'RB'), ('maybe', 'RB'), ('that', 'DT'), ('is', 'VBZ'), ('okay', 'MD'), ('he', 'PRP'), ('is', 'VBZ'), ('blue', 'JJ'), ('and', 'CC'), ('he', 'PRP'), ('has', 'VBZ'), ('warts', 'NNS'), ('so', 'RB')]	[('so', 'RB'), ('maybe', 'RB'), ('that', 'IN'), ('and', 'CC'), ('he', 'PRP'), ('be', 'VB'), ('strong', 'JJ'), ('so', 'RB'), ('maybe', 'RB'), ('that', 'IN'), ('be', 'VB'), ('okay', 'IN'), ('he', 'PRP'), ('be', 'VB'), ('blue', 'JJ'), ('and', 'CC'), ('he', 'PRP'), ('have', 'VBP'), ('wart', 'VBN'), ('so', 'RB')]	Dyad3-time1-condTD.txt
MOT	don't judge him by his warts  	['do', 'not', 'judge', 'him', 'by', 'his', 'warts']	['do', 'not', 'judge', 'him', 'by', 'his', 'wart']	[('do', 'VB'), ('not', 'RB'), ('judge', 'VB'), ('him', 'PRP'), ('by', 'IN'), ('his', 'PRP$'), ('warts', 'NNS')]	[('do', 'VB'), ('not', 'RB'), ('judge', 'VB'), ('him', 'PRP'), ('by', 'IN'), ('his', 'PRP$'), ('wart', 'NN')]	Dyad3-time1-condTD.txt
CHI	well i'm just  	['well', 'i', 'am', 'just']	['well', 'i', 'be', 'just']	[('well', 'RB'), ('i', 'RB'), ('am', 'VBP'), ('just', 'RB')]	[('well', 'RB'), ('i', 'RB'), ('be', 'VB'), ('just', 'RB')]	Dyad3-time1-condTD.txt
MOT	okay so what do you wanna do for him  	['okay', 'so', 'what', 'do', 'you', 'wan', 'na', 'do', 'for', 'him']	['okay', 'so', 'what', 'do', 'you', 'wan', 'na', 'do', 'for', 'him']	[('okay', 'RB'), ('so', 'RB'), ('what', 'WP'), ('do', 'VBP'), ('you', 'PRP'), ('wan', 'VB'), ('na', 'NNS'), ('do', 'VB'), ('for', 'IN'), ('him', 'PRP')]	[('okay', 'RB'), ('so', 'RB'), ('what', 'WP'), ('do', 'VBP'), ('you', 'PRP'), ('wan', 'VB'), ('na', 'NNS'), ('do', 'VB'), ('for', 'IN'), ('him', 'PRP')]	Dyad3-time1-condTD.txt
CHI	i think he is  	['i', 'think', 'he', 'is']	['i', 'think', 'he', 'be']	[('i', 'NN'), ('think', 'VBP'), ('he', 'PRP'), ('is', 'VBZ')]	[('i', 'NN'), ('think', 'VBP'), ('he', 'PRP'), ('be', 'VB')]	Dyad3-time1-condTD.txt
MOT	so there's  i think there were three aliens and there's four choices  	['so', 'there', 'is', 'i', 'think', 'there', 'were', 'three', 'aliens', 'and', 'there', 'is', 'four', 'choices']	['so', 'there', 'be', 'i', 'think', 'there', 'be', 'three', 'alien', 'and', 'there', 'be', 'four', 'choice']	[('so', 'RB'), ('there', 'EX'), ('is', 'VBZ'), ('i', 'JJ'), ('think', 'VBP'), ('there', 'EX'), ('were', 'VBD'), ('three', 'CD'), ('aliens', 'NNS'), ('and', 'CC'), ('there', 'EX'), ('is', 'VBZ'), ('four', 'CD'), ('choices', 'NNS')]	[('so', 'RB'), ('there', 'RB'), ('be', 'VB'), ('i', 'JJ'), ('think', 'VBP'), ('there', 'EX'), ('be', 'VB'), ('three', 'CD'), ('alien', 'JJ'), ('and', 'CC'), ('there', 'EX'), ('be', 'VB'), ('four', 'CD'), ('choice', 'NN')]	Dyad3-time1-condTD.txt
CHI	well i'm sure that there might be more  	['well', 'i', 'am', 'sure', 'that', 'there', 'might', 'be', 'more']	['well', 'i', 'be', 'sure', 'that', 'there', 'might', 'be', 'more']	[('well', 'RB'), ('i', 'RB'), ('am', 'VBP'), ('sure', 'JJ'), ('that', 'IN'), ('there', 'EX'), ('might', 'MD'), ('be', 'VB'), ('more', 'JJR')]	[('well', 'RB'), ('i', 'RB'), ('be', 'VB'), ('sure', 'JJ'), ('that', 'IN'), ('there', 'EX'), ('might', 'MD'), ('be', 'VB'), ('more', 'JJR')]	Dyad3-time1-condTD.txt
MOT	okay there wasn't a okay  okay  	['okay', 'there', 'was', 'not', 'a', 'okay', 'okay']	['okay', 'there', 'be', 'not', 'a', 'okay', 'okay']	[('okay', 'NN'), ('there', 'EX'), ('was', 'VBD'), ('not', 'RB'), ('a', 'DT'), ('okay', 'NN'), ('okay', 'NN')]	[('okay', 'NN'), ('there', 'RB'), ('be', 'VB'), ('not', 'RB'), ('a', 'DT'), ('okay', 'NN'), ('okay', 'NN')]	Dyad3-time1-condTD.txt
CHI	that was just three  	['that', 'was', 'just', 'three']	['that', 'be', 'just', 'three']	[('that', 'DT'), ('was', 'VBD'), ('just', 'RB'), ('three', 'CD')]	[('that', 'DT'), ('be', 'VB'), ('just', 'RB'), ('three', 'CD')]	Dyad3-time1-condTD.txt
MOT	i don't think we have enough information this is just totally random so make a random decision  	['i', 'do', 'not', 'think', 'we', 'have', 'enough', 'information', 'this', 'is', 'just', 'totally', 'random', 'so', 'make', 'a', 'random', 'decision']	['i', 'do', 'not', 'think', 'we', 'have', 'enough', 'information', 'this', 'be', 'just', 'totally', 'random', 'so', 'make', 'a', 'random', 'decision']	[('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('think', 'VB'), ('we', 'PRP'), ('have', 'VBP'), ('enough', 'JJ'), ('information', 'NN'), ('this', 'DT'), ('is', 'VBZ'), ('just', 'RB'), ('totally', 'RB'), ('random', 'JJ'), ('so', 'RB'), ('make', 'VB'), ('a', 'DT'), ('random', 'NN'), ('decision', 'NN')]	[('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('think', 'VB'), ('we', 'PRP'), ('have', 'VBP'), ('enough', 'JJ'), ('information', 'NN'), ('this', 'DT'), ('be', 'VB'), ('just', 'RB'), ('totally', 'RB'), ('random', 'JJ'), ('so', 'RB'), ('make', 'VB'), ('a', 'DT'), ('random', 'NN'), ('decision', 'NN')]	Dyad3-time1-condTD.txt
CHI	yeah so i think we should wave to him and then i think he might be nice   so he was   so blue with warts and he was nice and  but he didn't have gems  	['yeah', 'so', 'i', 'think', 'we', 'should', 'wave', 'to', 'him', 'and', 'then', 'i', 'think', 'he', 'might', 'be', 'nice', 'so', 'he', 'was', 'so', 'blue', 'with', 'warts', 'and', 'he', 'was', 'nice', 'and', 'but', 'he', 'did', 'not', 'have', 'gems']	['yeah', 'so', 'i', 'think', 'we', 'should', 'wave', 'to', 'him', 'and', 'then', 'i', 'think', 'he', 'might', 'be', 'nice', 'so', 'he', 'be', 'so', 'blue', 'with', 'wart', 'and', 'he', 'be', 'nice', 'and', 'but', 'he', 'do', 'not', 'have', 'gem']	[('yeah', 'NNS'), ('so', 'RB'), ('i', 'JJ'), ('think', 'VBP'), ('we', 'PRP'), ('should', 'MD'), ('wave', 'VB'), ('to', 'TO'), ('him', 'PRP'), ('and', 'CC'), ('then', 'RB'), ('i', 'VB'), ('think', 'VBP'), ('he', 'PRP'), ('might', 'MD'), ('be', 'VB'), ('nice', 'JJ'), ('so', 'IN'), ('he', 'PRP'), ('was', 'VBD'), ('so', 'RB'), ('blue', 'JJ'), ('with', 'IN'), ('warts', 'NNS'), ('and', 'CC'), ('he', 'PRP'), ('was', 'VBD'), ('nice', 'JJ'), ('and', 'CC'), ('but', 'CC'), ('he', 'PRP'), ('did', 'VBD'), ('not', 'RB'), ('have', 'VB'), ('gems', 'NNS')]	[('yeah', 'NNS'), ('so', 'RB'), ('i', 'JJ'), ('think', 'VBP'), ('we', 'PRP'), ('should', 'MD'), ('wave', 'VB'), ('to', 'TO'), ('him', 'PRP'), ('and', 'CC'), ('then', 'RB'), ('i', 'VB'), ('think', 'VBP'), ('he', 'PRP'), ('might', 'MD'), ('be', 'VB'), ('nice', 'JJ'), ('so', 'IN'), ('he', 'PRP'), ('be', 'VB'), ('so', 'RB'), ('blue', 'JJ'), ('with', 'IN'), ('wart', 'NN'), ('and', 'CC'), ('he', 'PRP'), ('be', 'VB'), ('nice', 'JJ'), ('and', 'CC'), ('but', 'CC'), ('he', 'PRP'), ('do', 'VBP'), ('not', 'RB'), ('have', 'VB'), ('gem', 'NN')]	Dyad3-time1-condTD.txt
MOT	that could change though  	['that', 'could', 'change', 'though']	['that', 'could', 'change', 'though']	[('that', 'DT'), ('could', 'MD'), ('change', 'VB'), ('though', 'IN')]	[('that', 'DT'), ('could', 'MD'), ('change', 'VB'), ('though', 'IN')]	Dyad3-time1-condTD.txt
CHI	blue he has to be evil   and he doesn't have a gem i think  i think blue means you don't have a gem  	['blue', 'he', 'has', 'to', 'be', 'evil', 'and', 'he', 'does', 'not', 'have', 'a', 'gem', 'i', 'think', 'i', 'think', 'blue', 'means', 'you', 'do', 'not', 'have', 'a', 'gem']	['blue', 'he', 'have', 'to', 'be', 'evil', 'and', 'he', 'do', 'not', 'have', 'a', 'gem', 'i', 'think', 'i', 'think', 'blue', 'mean', 'you', 'do', 'not', 'have', 'a', 'gem']	[('blue', 'NN'), ('he', 'PRP'), ('has', 'VBZ'), ('to', 'TO'), ('be', 'VB'), ('evil', 'JJ'), ('and', 'CC'), ('he', 'PRP'), ('does', 'VBZ'), ('not', 'RB'), ('have', 'VB'), ('a', 'DT'), ('gem', 'NN'), ('i', 'NN'), ('think', 'VBP'), ('i', 'JJ'), ('think', 'VBP'), ('blue', 'JJ'), ('means', 'NNS'), ('you', 'PRP'), ('do', 'VBP'), ('not', 'RB'), ('have', 'VB'), ('a', 'DT'), ('gem', 'NN')]	[('blue', 'NN'), ('he', 'PRP'), ('have', 'VBP'), ('to', 'TO'), ('be', 'VB'), ('evil', 'JJ'), ('and', 'CC'), ('he', 'PRP'), ('do', 'VBP'), ('not', 'RB'), ('have', 'VB'), ('a', 'DT'), ('gem', 'NN'), ('i', 'NN'), ('think', 'VBP'), ('i', 'JJ'), ('think', 'VBP'), ('blue', 'JJ'), ('mean', 'NN'), ('you', 'PRP'), ('do', 'VBP'), ('not', 'RB'), ('have', 'VB'), ('a', 'DT'), ('gem', 'NN')]	Dyad3-time1-condTD.txt
MOT	 okay and then you can decide whether you're gonna run so  	['okay', 'and', 'then', 'you', 'can', 'decide', 'whether', 'you', 'are', 'gon', 'na', 'run', 'so']	['okay', 'and', 'then', 'you', 'can', 'decide', 'whether', 'you', 'be', 'gon', 'na', 'run', 'so']	[('okay', 'NN'), ('and', 'CC'), ('then', 'RB'), ('you', 'PRP'), ('can', 'MD'), ('decide', 'VB'), ('whether', 'IN'), ('you', 'PRP'), ('are', 'VBP'), ('gon', 'VBG'), ('na', 'TO'), ('run', 'VB'), ('so', 'RB')]	[('okay', 'NN'), ('and', 'CC'), ('then', 'RB'), ('you', 'PRP'), ('can', 'MD'), ('decide', 'VB'), ('whether', 'IN'), ('you', 'PRP'), ('be', 'VB'), ('gon', 'VBN'), ('na', 'TO'), ('run', 'VB'), ('so', 'RB')]	Dyad3-time1-condTD.txt
CHI	yeah but so he doesn't have a gem and he's bad because the green guy   who had a gem so then that means we already have the two good people   so then for the bad people  	['yeah', 'but', 'so', 'he', 'does', 'not', 'have', 'a', 'gem', 'and', 'he', 'is', 'bad', 'because', 'the', 'green', 'guy', 'who', 'had', 'a', 'gem', 'so', 'then', 'that', 'means', 'we', 'already', 'have', 'the', 'two', 'good', 'people', 'so', 'then', 'for', 'the', 'bad', 'people']	['yeah', 'but', 'so', 'he', 'do', 'not', 'have', 'a', 'gem', 'and', 'he', 'be', 'bad', 'because', 'the', 'green', 'guy', 'who', 'have', 'a', 'gem', 'so', 'then', 'that', 'mean', 'we', 'already', 'have', 'the', 'two', 'good', 'people', 'so', 'then', 'for', 'the', 'bad', 'people']	[('yeah', 'NNS'), ('but', 'CC'), ('so', 'RB'), ('he', 'PRP'), ('does', 'VBZ'), ('not', 'RB'), ('have', 'VB'), ('a', 'DT'), ('gem', 'NN'), ('and', 'CC'), ('he', 'PRP'), ('is', 'VBZ'), ('bad', 'JJ'), ('because', 'IN'), ('the', 'DT'), ('green', 'JJ'), ('guy', 'NN'), ('who', 'WP'), ('had', 'VBD'), ('a', 'DT'), ('gem', 'NN'), ('so', 'RB'), ('then', 'RB'), ('that', 'IN'), ('means', 'VBZ'), ('we', 'PRP'), ('already', 'RB'), ('have', 'VBP'), ('the', 'DT'), ('two', 'CD'), ('good', 'JJ'), ('people', 'NNS'), ('so', 'RB'), ('then', 'RB'), ('for', 'IN'), ('the', 'DT'), ('bad', 'JJ'), ('people', 'NNS')]	[('yeah', 'NNS'), ('but', 'CC'), ('so', 'RB'), ('he', 'PRP'), ('do', 'VBP'), ('not', 'RB'), ('have', 'VB'), ('a', 'DT'), ('gem', 'NN'), ('and', 'CC'), ('he', 'PRP'), ('be', 'VB'), ('bad', 'JJ'), ('because', 'IN'), ('the', 'DT'), ('green', 'JJ'), ('guy', 'NN'), ('who', 'WP'), ('have', 'VBP'), ('a', 'DT'), ('gem', 'NN'), ('so', 'RB'), ('then', 'RB'), ('that', 'IN'), ('mean', 'VBP'), ('we', 'PRP'), ('already', 'RB'), ('have', 'VBP'), ('the', 'DT'), ('two', 'CD'), ('good', 'JJ'), ('people', 'NNS'), ('so', 'RB'), ('then', 'RB'), ('for', 'IN'), ('the', 'DT'), ('bad', 'JJ'), ('people', 'NNS')]	Dyad3-time1-condTD.txt
MOT	okay that's reasonable  	['okay', 'that', 'is', 'reasonable']	['okay', 'that', 'be', 'reasonable']	[('okay', 'NN'), ('that', 'WDT'), ('is', 'VBZ'), ('reasonable', 'JJ')]	[('okay', 'NN'), ('that', 'WDT'), ('be', 'VB'), ('reasonable', 'JJ')]	Dyad3-time1-condTD.txt
CHI	so that means we should run away   i think   he was  he's friendly but he didn't have a gem   so he  so maybe blue  	['so', 'that', 'means', 'we', 'should', 'run', 'away', 'i', 'think', 'he', 'was', 'he', 'is', 'friendly', 'but', 'he', 'did', 'not', 'have', 'a', 'gem', 'so', 'he', 'so', 'maybe', 'blue']	['so', 'that', 'mean', 'we', 'should', 'run', 'away', 'i', 'think', 'he', 'be', 'he', 'be', 'friendly', 'but', 'he', 'do', 'not', 'have', 'a', 'gem', 'so', 'he', 'so', 'maybe', 'blue']	[('so', 'RB'), ('that', 'IN'), ('means', 'VBZ'), ('we', 'PRP'), ('should', 'MD'), ('run', 'VB'), ('away', 'RP'), ('i', 'JJ'), ('think', 'VBP'), ('he', 'PRP'), ('was', 'VBD'), ('he', 'PRP'), ('is', 'VBZ'), ('friendly', 'RB'), ('but', 'CC'), ('he', 'PRP'), ('did', 'VBD'), ('not', 'RB'), ('have', 'VB'), ('a', 'DT'), ('gem', 'NN'), ('so', 'RB'), ('he', 'PRP'), ('so', 'RB'), ('maybe', 'RB'), ('blue', 'JJ')]	[('so', 'RB'), ('that', 'IN'), ('mean', 'VBP'), ('we', 'PRP'), ('should', 'MD'), ('run', 'VB'), ('away', 'RP'), ('i', 'JJ'), ('think', 'VBP'), ('he', 'PRP'), ('be', 'VB'), ('he', 'PRP'), ('be', 'VB'), ('friendly', 'RB'), ('but', 'CC'), ('he', 'PRP'), ('do', 'VBP'), ('not', 'RB'), ('have', 'VB'), ('a', 'DT'), ('gem', 'NN'), ('so', 'RB'), ('he', 'PRP'), ('so', 'RB'), ('maybe', 'RB'), ('blue', 'JJ')]	Dyad3-time1-condTD.txt
MOT	i don't know we can just pick    yeah okay  	['i', 'do', 'not', 'know', 'we', 'can', 'just', 'pick', 'yeah', 'okay']	['i', 'do', 'not', 'know', 'we', 'can', 'just', 'pick', 'yeah', 'okay']	[('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('know', 'VB'), ('we', 'PRP'), ('can', 'MD'), ('just', 'RB'), ('pick', 'VB'), ('yeah', 'UH'), ('okay', 'NN')]	[('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('know', 'VB'), ('we', 'PRP'), ('can', 'MD'), ('just', 'RB'), ('pick', 'VB'), ('yeah', 'UH'), ('okay', 'NN')]	Dyad3-time1-condTD.txt
CHI	anyone that's blue sofar    so everyone that's blue sofar has been friendly but with no gem  	['anyone', 'that', 'is', 'blue', 'sofar', 'so', 'everyone', 'that', 'is', 'blue', 'sofar', 'has', 'been', 'friendly', 'but', 'with', 'no', 'gem']	['anyone', 'that', 'be', 'blue', 'sofar', 'so', 'everyone', 'that', 'be', 'blue', 'sofar', 'have', 'be', 'friendly', 'but', 'with', 'no', 'gem']	[('anyone', 'NN'), ('that', 'WDT'), ('is', 'VBZ'), ('blue', 'JJ'), ('sofar', 'RB'), ('so', 'RB'), ('everyone', 'NN'), ('that', 'WDT'), ('is', 'VBZ'), ('blue', 'JJ'), ('sofar', 'RB'), ('has', 'VBZ'), ('been', 'VBN'), ('friendly', 'RB'), ('but', 'CC'), ('with', 'IN'), ('no', 'DT'), ('gem', 'NN')]	[('anyone', 'NN'), ('that', 'WDT'), ('be', 'VB'), ('blue', 'JJ'), ('sofar', 'RB'), ('so', 'RB'), ('everyone', 'NN'), ('that', 'IN'), ('be', 'VB'), ('blue', 'JJ'), ('sofar', 'RB'), ('have', 'VBP'), ('be', 'VB'), ('friendly', 'JJ'), ('but', 'CC'), ('with', 'IN'), ('no', 'DT'), ('gem', 'NN')]	Dyad3-time1-condTD.txt
MOT	okay  okay   he's the same we saw in the first one no different eyes   so let's do what was green  	['okay', 'okay', 'he', 'is', 'the', 'same', 'we', 'saw', 'in', 'the', 'first', 'one', 'no', 'different', 'eyes', 'so', 'let', 'us', 'do', 'what', 'was', 'green']	['okay', 'okay', 'he', 'be', 'the', 'same', 'we', 'saw', 'in', 'the', 'first', 'one', 'no', 'different', 'eye', 'so', 'let', 'u', 'do', 'what', 'be', 'green']	[('okay', 'RB'), ('okay', 'IN'), ('he', 'PRP'), ('is', 'VBZ'), ('the', 'DT'), ('same', 'JJ'), ('we', 'PRP'), ('saw', 'VBD'), ('in', 'IN'), ('the', 'DT'), ('first', 'JJ'), ('one', 'CD'), ('no', 'DT'), ('different', 'JJ'), ('eyes', 'NNS'), ('so', 'RB'), ('let', 'VB'), ('us', 'PRP'), ('do', 'VB'), ('what', 'WP'), ('was', 'VBD'), ('green', 'JJ')]	[('okay', 'RB'), ('okay', 'MD'), ('he', 'PRP'), ('be', 'VB'), ('the', 'DT'), ('same', 'JJ'), ('we', 'PRP'), ('saw', 'VBD'), ('in', 'IN'), ('the', 'DT'), ('first', 'JJ'), ('one', 'CD'), ('no', 'DT'), ('different', 'JJ'), ('eye', 'NN'), ('so', 'RB'), ('let', 'JJ'), ('u', 'JJ'), ('do', 'VB'), ('what', 'WP'), ('be', 'VB'), ('green', 'JJ')]	Dyad3-time1-condTD.txt
